			SS336DirVan	(Innesto con la S.S. n. 336 Dir - Innesto con la S.S. n. 341 presso Lonate Pozzolo)
			SS340	(Como - Menaggio - Confine di Stato con la Svizzeria a Oria)
			SS340Dir	(Innesto con la S.S. n. 340 a Menaggio - Dongo - Gravedona - Innesto con la S.S. n. 36 presso Pian di Spagna)
			SS341 (Castano Primo)	(Confine con la Regione Piemonte (Turbigo) - Innesto con la S.S. n. 33 a Gallarate)
			SS341 (Albizzate)	(Incrocio via Elsa Morante a Cavaria con Premezzo - Incrocio tra via Azzate e via Morazzone a Gazzada Schianno)
			SS342 (Olgiate Molgora)	(Innesto con la S.S. n. 343 Dir a Ponte San Pietro - Provincia di Como)
			SS342 (Maccio)	(Montano Lucino (Como) - )
			SS342 (Binago)
			SS342 (Malnate)	(- Varese)
			SS342Dir - new	(Incrocio con la S.S. n. 470 Dir a Treviolo - Innesto con la S.S. n. 342 a Ponte San Pietro)
			SS343 (Casalmaggiore) - new	(Confine con la Regione Emilia Romagna a Casalmaggiore (ponte) - Innesto con la S.S. n. 343 Var)
			SS343 (Asora) - new	(Innesto svincolo S.S. n. 10 - Innesto con S.P. n. 236 e S.P. n. 567)
			SS343Var	(Innesto inizio tratto sotteso con la S.S.n. 343 - Incrocio via Roma - innesto svincolo SS 10 ¿ fine tratto sotteso con la S.S. n. 343)
			SS344	(Induno Olona - Arcisate)
			SS344Bes	(Bisuschio - Confine di Stato con la Svizzera a Porto Ceresio)
			SS344Dir - new	(Innesto SS 344 a Porto Ceresio (VA) - Innesto inizio centro abitato di Luino (VA))
			SS344Var	(Innesto svincolo al Km 4.000 della S.S. n. 344 a Induno Olona - Incrocio con via Cavour ad Arcisate - Innesto al Km 7.650 della S.S. n. 344 a Bisuschio)
			SS358 - new	(Confine Emilia Romagna a Viadana - - Innesto alla S.S. n. 343 a Casalmaggiore)
			SS394 (Gemonio)	(Varese - Mesenzana - Luino)
			SS394 (Maccagno)	(Luino - Confine di Stato con la Svizzera a Zenna)
			SS402 - new	(Innesto con la S.S. n. 340 Dir a Ponte Passo in Gera Lario - Innesto con la S.S. n. 36 in località Nuova Olonio - Dubino)
			SS412 - new	(Confine con la Regione Emilia Romagna a Trebecco - Confine con la Regione Emilia Romagna a Casa Matti -Romagnese (fine tratto))
			SS461 - new	(Fine centro abitato comune di Voghera - Confine con la Regione Emilia Romagna a passo del Penice)
			SS469 - new	(Incrocio via Giorgio Paglia a Lovere - Ingresso con la A4 Palazzolo sull¿Oglio)
			SS470 - new	(Innesto con la S.S. n. 470 DIR Villa Almè - Fine centro abitato di Morbegno)
			SS470Dir	(Innesto con la S.S. n. 470 a Villa D' Almè - Innesto con la S.S. n. 42 a Stezzano) 
			SS494 (Trezzano sul Naviglio)	(Milano - Innesto con la S.S. n. 526 a Ponte Naviglio Grande presso Abbiategrasso)
			SS494 (Soria Vecchia)	(Fine centro abitato di Abbiategrasso - Inizio centro abitato di Vigevano)
			SS494 (Morata)	(Innesti variante Nord di Vigevano PVSPEXSS494DIR1 e PVSPEXSS494DIR2 - Innesto variante Sartirana Lomellina PVSP194)
			SS494 (Torre Beretti)	(Innesto PVSP194D1 (fine variante sud Sartirana Lomellinsa) - Confine con la Regione Piemonte presso Torre Beretti e Castellaro) links to PIE
			SS494Dir ((north) Vigevano) - new	(S.S. n. 494 presso nuovo ponte sul Ticino - Incrocio Corso la Malfa-Inizio centro abitato a nord di Vigevano)
			SS494Dir ((south) Vigevano) - new	(Incrocio con la S.P. n. 206 a Ovest di Vigevano - Innesto con la S.S. n. 494 a Sud-Ovest di Vigevano)
			SS494Var - new	(Innesto con la S.S. n. 494 a Nord di Sartirana Lomellina - S.S. n. 494 Var a Est di Sartirana Lomellina - Innesto con la S.S. n. 494 a Sud di Sartirana Lomellina)
			SS526 (Magenta) - new	(Magenta - Abbiategrasso)
			SS526 (Motta Visconti)	(Abbiategrasso - Innesto con il Raccordo Autostradale "Pavia - A7" presso Bereguardo (Torre d'Isola))
			SS227 (Valera) - new
			SS527 (Bovisio Masciago) - new	(Intersezione con via Sondrio a Varedo - Inizio centro abitato di Saronno)
			SS527 (Uboldo) - new	(Fine centro abitato di Uboldo - Confine provincia di Milano)
			SS527 (Cascina Elisa) - new	(Innesto via Lonate Pozzolo Busto Arsizio - Confine con provincia di Varese e comune di Lonate Pozzolo)
			SS527 (Sant'Anna Ovest) - new	(Fine centro abitato comune di Lonate Pozzolo (VA) - Confine Piemonte) continues into PIE
			SS591Bis	(Svincolo con la S.P. n. 115 - Innesto con la S.S. n. 42 (km 26+000))
			SS596 - new	(Innesto con la S.S. n. 494 a Ovest di Mortara - Innesto con la S.S. n. 596 a Nord di Sant¿Angelo Lomellina - Confine con la Regione Piemonte) - links to PIE
			SS596Dir (Cozzo) - new	(Innesto con la S.S. n. 494 a Castello d¿Agogna - Incrocio con S.P. n. 596 presso Castello d¿Agogna - Inizio Circonvallazione ad Est di Candia Lomellina S.S. n. 596 Var)
			SS596Dir (Fiume Sesia) - new	(Innesto S.S. n. 596 Var a Ovest di Candia Lomellina - Confine con la Regioe Piemonte a Candia Lomellina) (links to PIE)
			SS596Var - new	(Innesto con la S.S. n. 596 Dir e incrocio con la S.P. n. 21 ad est di Candia Lomellina - Incrocio con la S.P. n. 05 e la S.P. n. 194 - Innesto con la S.S. n. 596 Dir e incrocio con via Casale a ovest di Candia Lomellina)
			SS617	(Svincolo con la A 54 Tangenziale Est di Pavia - Svincolo Pavia Centro - Incrocio su SP202 - Innesto con la SS 10 a Broni ( Km 155+055))
			SS629	(Innesto con la S.S. n. 33 presso Vergiate - Lago di Monate - Innesto con la S.S. n. 394 presso Gemonio)
		SS639 - new (Valmadrera)	(Svincolo con la S.S. n. 36 in comune di Civate - Innesto con la S.P. n. 583 in comune di Malgrate)
		SS639 - new (Vercurago)	(Confine comunale di Lecco - Confine comunale di Calolziocorte)
		SS639 - new (Cisano Bergamasco)	(Fine centro abitato di Calolziocorte - Confine provinciale di Bergamo)
	SS671 - new	(Innesto con la S.S. n. 42 a Seriate - S.S. n. 671 a Albino confine Cene - Innesto con la S.S. n. 294 in loc. Dezzo di Sclave (Colere))
	SS671Dir - new	(Innesto con la S.S. n. 671 a Clusone - Incrocio via San Francesco D¿Assisi a Lovere (BG))
			SS707	(Svincolo con l' A8 - Varese)
			SS708	(Como - Innesto con l'A9 presso Como)
			SS712	(Rotonda di Vedano Olona - Varese - Innesto con la S.S. n. 233)
			SS753 - new	(Innesto con S.P. 72 viale dei Giardini a Perledo - Innesto con la S.P. n. 62 e incrocio con via "località Galera" a Cortenova)
			SS754 - new	(Innesto con la S.S. n. 753 ¿Di Esine¿ a Parlasco - Incrocio con via alle Terme in località Pennaso - Innesto su via XX Settembre a Bellano)
			SS755 - new	(Incrocio con Strada Bussolino confine comunale di Voghera - Innesto con S.S. n. 756 a Sannazzaro de¿ Burgondi)
			SS756 - new	(Innesto S.S. n. 755 a Sannazzaro de¿ Burgondi - Innesto S.S. n. 211 al Km. 40.850 in località Cascina Boragno (Lomello) -Innesto S.S. n. 211 al Km. 39.850 (centro abitato di Lomello) - Innesto S.S. n. 494 (centro abitato di Torre Beretti e Castellaro))
