system;region;route;banner;abbrev;city;fileroot;AltRouteNames
usaky3;KY;KY1281;;;;ky.ky1281;
usaky3;KY;KY1282;;;;ky.ky1282;
usaky3;KY;KY1283;;;;ky.ky1283;
usaky3;KY;KY1284;;;;ky.ky1284;
usaky3;KY;KY1285;;;;ky.ky1285;
usaky3;KY;KY1286;;;;ky.ky1286;
usaky3;KY;KY1287;;;;ky.ky1287;
usaky3;KY;KY1288;;;;ky.ky1288;
usaky3;KY;KY1289;;;;ky.ky1289;
usaky3;KY;KY1290;;;;ky.ky1290;
usaky3;KY;KY1291;;;;ky.ky1291;
usaky3;KY;KY1292;;;;ky.ky1292;
usaky3;KY;KY1293;;;;ky.ky1293;
usaky3;KY;KY1294;;;;ky.ky1294;
usaky3;KY;KY1295;;;;ky.ky1295;
usaky3;KY;KY1296;;;;ky.ky1296;
usaky3;KY;KY1297;;;;ky.ky1297;
usaky3;KY;KY1298;;;;ky.ky1298;
usaky3;KY;KY1299;;;;ky.ky1299;
usaky3;KY;KY1300;;;;ky.ky1300;
usaky3;KY;KY1301;;;;ky.ky1301;
usaky3;KY;KY1302;;;;ky.ky1302;
usaky3;KY;KY1303;;;;ky.ky1303;
usaky3;KY;KY1304;;;;ky.ky1304;
usaky3;KY;KY1305;;;;ky.ky1305;
usaky3;KY;KY1306;;;;ky.ky1306;
usaky3;KY;KY1307;;;;ky.ky1307;
usaky3;KY;KY1308;;;;ky.ky1308;
usaky3;KY;KY1309;;;;ky.ky1309;
usaky3;KY;KY1310;;;;ky.ky1310;
usaky3;KY;KY1311;;;;ky.ky1311;
usaky3;KY;KY1312;;;;ky.ky1312;
usaky3;KY;KY1313;;;;ky.ky1313;
usaky3;KY;KY1314;;;;ky.ky1314;
usaky3;KY;KY1315;;;;ky.ky1315;
usaky3;KY;KY1316;;;;ky.ky1316;
usaky3;KY;KY1317;;;;ky.ky1317;
usaky3;KY;KY1318;;;;ky.ky1318;
usaky3;KY;KY1319;;;;ky.ky1319;
usaky3;KY;KY1320;;;;ky.ky1320;
usaky3;KY;KY1321;;;;ky.ky1321;
usaky3;KY;KY1322;;;;ky.ky1322;
usaky3;KY;KY1323;;;;ky.ky1323;
usaky3;KY;KY1324;;;;ky.ky1324;
usaky3;KY;KY1325;;;;ky.ky1325;
usaky3;KY;KY1326;;;;ky.ky1326;
usaky3;KY;KY1327;;;;ky.ky1327;
usaky3;KY;KY1328;;;;ky.ky1328;
usaky3;KY;KY1329;;;;ky.ky1329;
usaky3;KY;KY1330;;;;ky.ky1330;
usaky3;KY;KY1331;;;;ky.ky1331;
usaky3;KY;KY1332;;;;ky.ky1332;
usaky3;KY;KY1333;;;;ky.ky1333;
usaky3;KY;KY1335;;;;ky.ky1335;
usaky3;KY;KY1336;;;;ky.ky1336;
