System;Route;Banner;City;Root
gbna;A490;;;wls.a490chu,eng.a490,wls.a490
gbna;A491;;;eng.a491
gbna;A493;;;wls.a493
gbna;A494;;;wls.a494,eng.a494
gbna;A495;;;wls.a495,eng.a495,wls.a495bro
gbna;A496;;;wls.a496
gbna;A497;;;wls.a497
gbna;A498;;;wls.a498
gbna;A499;;;wls.a499
gbna;A500;;;eng.a500
gbna;A501;;;eng.a501
gbna;A502;;;eng.a502
gbna;A503;;;eng.a503
gbna;A504;;;eng.a504
gbna;A505;;;eng.a505
gbna;A506;;;eng.a506
gbna;A507;;;eng.a507
gbna;A508;;;eng.a508
gbna;A509;;;eng.a509
gbna;A510;;;eng.a510
gbna;A511;;;eng.a511
gbna;A512;;;eng.a512
gbna;A513;;(Main);eng.a513
gbna;A513;;Stafford;eng.a513sta
gbna;A514;;;eng.a514
gbna;A515;;;eng.a515
gbna;A516;;;eng.a516
gbna;A517;;;eng.a517
gbna;A518;;;eng.a518
gbna;A519;;;eng.a519
gbna;A520;;;eng.a520
gbna;A521;;;eng.a521
gbna;A522;;;eng.a522
gbna;A523;;;eng.a523
gbna;A525;;St. Asaph;wls.a525
gbna;A525;;Whitchurch;wls.a525wre,eng.a525
gbna;A526;;;eng.a526
gbna;A527;;;eng.a527
gbna;A528;;;eng.a528,wls.a528
gbna;A529;;;eng.a529
gbna;A530;;;eng.a530
gbna;A531;;;eng.a531
gbna;A532;;;eng.a532
gbna;A533;;;eng.a533
gbna;A534;;;wls.a534,eng.a534
gbna;A535;;;eng.a535
gbna;A536;;;eng.a536
gbna;A537;;;eng.a537
gbna;A538;;;eng.a538
gbna;A539;;;wls.a539
gbna;A540;;;eng.a540
gbna;A541;;;wls.a541
gbna;A542;;;wls.a542
gbna;A543;;;wls.a543
gbna;A544;;;wls.a544
gbna;A545;;;wls.a545
gbna;A546;;;wls.a546
gbna;A547;;;wls.a547
gbna;A548;;;wls.a548,eng.a548
gbna;A549;;;wls.a549
gbna;A550;;;wls.a550,eng.a550
gbna;A551;;;eng.a551
gbna;A552;;;eng.a552
gbna;A553;;;eng.a553
gbna;A554;;;eng.a554
gbna;A555;;;eng.a555
gbna;A556;;;eng.a556
gbna;A557;;;eng.a557
gbna;A558;;;eng.a558
gbna;A559;;(Main);eng.a559
gbna;A559;;Lostock Graham;eng.a559los
gbna;A560;;;eng.a560
gbna;A561;;;eng.a561
gbna;A562;;;eng.a562
gbna;A563;;;eng.a563
gbna;A565;;;eng.a565
gbna;A566;;;eng.a566
gbna;A567;;;eng.a567
