System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
gbna1;ENG;A1130;;;;eng.a1130;
gbna1;ENG;A1130;;Ack;Acklam;eng.a1130ack;
gbna1;ENG;A1133;;;;eng.a1133;
gbna1;ENG;A1134;;;;eng.a1134;
gbna1;ENG;A1136;;;;eng.a1136;
gbna1;ENG;A1137;;;;eng.a1137;
gbna1;ENG;A1138;;;;eng.a1138;
gbna1;ENG;A1139;;Ort;Orton;eng.a1139ort;
gbna1;ENG;A1139;;;;eng.a1139;
gbna1;SCT;A1140;;;;sct.a1140;
gbna1;ENG;A1141;;;;eng.a1141;
gbna1;ENG;A1144;;;;eng.a1144;
gbna1;ENG;A1145;;;;eng.a1145;
gbna1;ENG;A1146;;;;eng.a1146;
gbna1;ENG;A1147;;;;eng.a1147;
gbna1;ENG;A1148;;;;eng.a1148;
gbna1;ENG;A1149;;;;eng.a1149;
gbna1;ENG;A1150;;;;eng.a1150;
gbna1;ENG;A1151;;;;eng.a1151;
gbna1;ENG;A1152;;;;eng.a1152;
gbna1;ENG;A1153;;;;eng.a1153;
gbna1;ENG;A1155;;;;eng.a1155;
gbna1;ENG;A1156;;;;eng.a1156;
gbna1;ENG;A1158;;;;eng.a1158;
gbna1;ENG;A1159;;;;eng.a1159;
gbna1;ENG;A1160;;;;eng.a1160;
gbna1;ENG;A1165;;;;eng.a1165;
gbna1;ENG;A1166;;;;eng.a1166;
gbna1;ENG;A1167;;;;eng.a1167;
gbna1;ENG;A1168;;;;eng.a1168;
gbna1;ENG;A1169;;;;eng.a1169;
gbna1;ENG;A1170;;;;eng.a1170;
gbna1;ENG;A1171;;;;eng.a1171;
gbna1;ENG;A1172;;;;eng.a1172;
gbna1;ENG;A1173;;;Stallingborough;eng.a1173;
gbna1;ENG;A1173;;Imm;Immingham;eng.a1173imm;
gbna1;ENG;A1174;;;;eng.a1174;
gbna1;ENG;A1175;;;;eng.a1175;
gbna1;ENG;A1179;;;;eng.a1179;
gbna1;ENG;A1184;;;;eng.a1184;
gbna1;ENG;A1185;;;;eng.a1185;
gbna1;ENG;A1189;;;;eng.a1189;
gbna1;ENG;A1198;;;;eng.a1198;
gbna1;ENG;A1199;;Can;Canonbury;eng.a1199can;
gbna1;ENG;A1199;;;Woodford;eng.a1199;
gbna1;ENG;A1200;;;;eng.a1200;
gbna1;ENG;A1201;;;;eng.a1201;
gbna1;ENG;A1202;;;;eng.a1202;
gbna1;ENG;A1203;;;;eng.a1203;
gbna1;ENG;A1205;;;;eng.a1205;
gbna1;ENG;A1206;;;;eng.a1206;
