System;Region;Route;Banner;Abbrev;City;Root;AltRouteNames
itass2;ITA-VEN;SS47;;;;itaven.ss047;
itass2;ITA-TRE;SS47;;;;itatre.ss047;
itass2;ITA-TRE;SS48;;;;itatre.ss048;
itass2;ITA-TRE;SS48;Bis;;;itatre.ss048bis;
itass2;ITA-TRE;SS49;;;;itatre.ss049;
itass2;ITA-TRE;SS49;Bis;;;itatre.ss049bis;
itass2;ITA-TRE;SS50;;;;itatre.ss050;
itass2;ITA-VEN;SS50;;;;itaven.ss050;
itass2;ITA-VEN;SS50;BisVar;;;itaven.ss050bisvar;
itass2;ITA-VEN;SS51;;;;itaven.ss051;
itass2;ITA-TRE;SS51;;;;itatre.ss051;
itass2;ITA-VEN;SS51;Bis;;;itaven.ss051bis;
itass2;ITA-VEN;SS52;;;;itaven.ss052;
itass2;ITA-FRI;SS52;Bis;;;itafri.ss052bis;
itass2;ITA-FRI;SS52;BisDir;;;itafri.ss052bisdir;
itass2;ITA-VEN;SS53;;;;itaven.ss053;
itass2;ITA-FRI;SS54;;;Cividale del Friuli;itafri.ss054;
itass2;ITA-FRI;SS54;;Tar;Tarvisio;itafri.ss054tar;
itass2;ITA-FRI;SS54;Dir;;;itafri.ss054dir;
itass2;ITA-FRI;SS55;;;;itafri.ss055;
itass2;ITA-FRI;SS58;;;;itafri.ss058;
itass2;ITA-LIG;SS62;;;;italig.ss062;
itass2;ITA-TOS;SS62;;;;itatos.ss062;
itass2;ITA-EMI;SS62;;;;itaemi.ss062;
itass2;ITA-TOS;SS63;;;;itatos.ss063;
itass2;ITA-EMI;SS63;;;;itaemi.ss063;
itass2;ITA-TOS;SS64;;Ber;Berzantina;itatos.ss064ber;
itass2;ITA-EMI;SS64;;Ber;Berzantina;itaemi.ss064ber;
itass2;ITA-TOS;SS64;;;Vergato;itatos.ss064;
itass2;ITA-TOS;SS64;;Alt;Altedo;itatos.ss064alt;
itass2;ITA-EMI;SS64;Var;Mol;Molinaccio;itaemi.ss064varmol;
itass2;ITA-EMI;SS64;Var;Sas;Sasso Marconi;itaemi.ss064varsas;
itass2;ITA-TOS;SS65;;;;itatos.ss065;
itass2;ITA-EMI;SS65;;;;itaemi.ss065;
itass2;ITA-TOS;SS66;;;;itatos.ss066;
itass2;ITA-TOS;SS67;;Emp;Empoli;ita.ss067emp;
itass2;ITA-TOS;SS67;;Com;Compiobbi;ita.ss067com;
itass2;ITA-TOS;SS67;;;Pontassieve;itatos.ss067;
itass2;ITA-EMI;SS67;;;Pontassieve;itaemi.ss067;
itass2;ITA-EMI;SS67;;Rav;Ravenna;itaemi.ss067rav;
itass2;ITA-TOS;SS67;Bis;;;itatos.ss067bis;
itass2;ITA-TOS;SS67;Var;;;itatos.ss067var;
itass2;ITA-TOS;SS68;;;;itatos.ss068;
itass2;ITA-UMB;SS71;;;;itaumb.ss071;
itass2;ITA-TOS;SS71;;;;itatos.ss071;
itass2;ITA-EMI;SS72;;;;itaemi.ss072;
itass2;ITA-TOS;SS73;;;Arezzo;itatos.ss073;
itass2;ITA-TOS;SS73;;San;Sansepolcro;itatos.ss073san;
itass2;ITA-UMB;SS73;Bis;SGi;San Giustino;itaumb.ss073bissgi;
itass2;ITA-MAR;SS73;Bis;SGi;San Giustino;itamar.ss073bissgi;
itass2;ITA-MAR;SS73;Bis;Fan;Fano;itamar.ss073bisfan;
itass2;ITA-MAR;SS73;BisVar;;;itamar.ss073bisvar;
itass2;ITA-TOS;SS73;Var;;;itatos.ss073var;
itass2;ITA-LAZ;SS74;;;;italaz.ss074;
itass2;ITA-UMB;SS74;;;;itaumb.ss074;
itass2;ITA-UMB;SS75;;;;itaumb.ss075;
itass2;ITA-UMB;SS76;;;;itaumb.ss076;
itass2;ITA-MAR;SS76;;;;itamar.ss076;
itass2;ITA-MAR;SS76;Dir;;;itamar.ss076dir;
itass2;ITA-UMB;SS77;;;Foligno;itaumb.ss077;
itass2;ITA-MAR;SS77;;Col;Colfiorito;itamar.ss077col;
itass2;ITA-UMB;SS77;;Col;Colfiorito;itaumb.ss077col;
itass2;ITA-MAR;SS77;;Ser;Serravalle di Chienti;itamar.ss077fol;
itass2;ITA-MAR;SS77;;;Civitanova Marche;itamar.ss077;
itass2;ITA-MAR;SS77;Dir;;;itamar.ss077dir;
itass2;ITA-MAR;SS77;Var;;;itamar.ss077var;
itass2;ITA-MAR;SS78;;;;itamar.ss078;
itass2;ITA-LAZ;SS79;;;;italaz.ss079;
itass2;ITA-UMB;SS79;;;;itaumb.ss079;
itass2;ITA-UMB;SS79;Bis;;;ita.ss079bis;
itass2;ITA-ABR;SS80;;;;itaabr.ss080;
itass2;ITA-ABR;SS80;Dir;;;itaabr.ss080dir;
itass2;ITA-ABR;SS80;Racc;;;itaabr.ss080racc;
itass2;ITA-ABR;SS80;Var;;;itaabr.ss080var;
itass2;ITA-MAR;SS81;;;;itamar.ss081;
itass2;ITA-ABR;SS81;;;;itaabr.ss081;
itass2;ITA-ABR;SS83;;;;itaabr.ss083;
itass2;ITA-ABR;SS84;;;;itaabr.ss084;
itass2;ITA-CAM;SS85;;;;itacam.ss085;
itass2;ITA-MOL;SS85;;;;itamol.ss085;
itass2;ITA-MOL;SS85;Var;;;ita.ss085var;
itass2;ITA-CAM;SS87;;Vin;Vinchiaturo;itacam.ss087vin;
itass2;ITA-MOL;SS87;;Vin;Vinchiaturo;itamol.ss087vin;
itass2;ITA-MOL;SS87;;;Termoli;itamol.ss087;
itass2;ITA-PUG;SS89;;;;itapug.ss089;
itass2;ITA-PUG;SS89;Dir;;;itapug.ss089dir;
itass2;ITA-CAM;SS90;;;;itacam.ss090;
itass2;ITA-PUG;SS90;;;;itapug.ss090;
itass2;ITA-CAM;SS90;Bis;;;itacam.ss090bis;
itass2;ITA-CAM;SS90;Dir;;;itacam.ss090dir;
itass2;ITA-CAM;SS90;Var;;;itacam.ss090var;
itass2;ITA-CAM;SS91;;;;itacam.ss091;
itass2;ITA-CAM;SS91;Racc;;;itacam.ss091racc;
itass2;ITA-BAS;SS92;;;;itabas.ss092;
itass2;ITA-PUG;SS93;;;;itapug.ss093;
itass2;ITA-BAS;SS93;;;;itabas.ss093;
itass2;ITA-BAS;SS94;;;;itabas.ss094;
itass2;ITA-BAS;SS94;Dir;;;itabas.ss094dir;
itass2;ITA-BAS;SS95;;;Tito;ita.ss095;
itass2;ITA-BAS;SS95;;Bri;Brienza;ita.ss095bri;
itass2;ITA-BAS;SS95;Var;;;ita.ss095var;
itass2;ITA-PUG;SS96;;;;itapug.ss096;
itass2;ITA-BAS;SS96;;;;itabas.ss096;
itass2;ITA-PUG;SS96;Bis;;;itapug.ss096bis;
itass2;ITA-BAS;SS96;Bis;;;itabas.ss096bis;
itass2;ITA-PUG;SS99;;;;itapug.ss099;
itass2;ITA-BAS;SS99;;;;itabas.ss099;
itass2;ITA-PUG;SS100;;;;itapug.ss100;
itass2;ITA-PUG;SS101;;;;itapug.ss101;
itass2;ITA-CAL;SS106;;;Catanzaro;itacal.ss106;
itass2;ITA-CAL;SS106;;Tre;Trebisacce;itacal.ss106tre;
itass2;ITA-CAL;SS106;;RIM;Rocca Imperiale Marina;itacal.ss106rim;
itass2;ITA-BAS;SS106;;Tar;Taranto;itabas.ss106tar;
itass2;ITA-PUG;SS106;;Tar;Taranto;itapug.ss106tar;
itass2;ITA-PUG;SS106;Dir;;;itadir.ss106dir;
itass2;ITA-CAL;SS106;Radd;;;itacal.ss106radd;
itass2;ITA-CAL;SS106;Var;Sid;Siderno;itacal.ss106varsid;
itass2;ITA-CAL;SS106;Var;Cat;Catanzaro;itacal.ss106varcat;
itass2;ITA-CAL;SS106;Var;Mon;Montegiordano;itacal.ss106varmon;
itass2;ITA-CAL;SS106;Var;NSS;Nova Siri Scalo;itacal.ss106varnss;
itass2;ITA-BAS;SS106;Var;NSS;Nova Siri Scalo;itabas.ss106varnss;
itass2;ITA-CAL;SS107;;;;itacal.ss107;
itass2;ITA-CAL;SS108;Bis;;;itacal.ss108bis;
itass2;ITA-CAL;SS109;;;;itacal.ss109;
itass2;ITA-CAL;SS109;Bis;;;itacal.ss109bis;
itass2;ITA-CAL;SS109;BisDir;;;itacal.ss109bisdir;
itass2;ITA-SIC;SS113;;;;itasic.ss113;
itass2;ITA-SIC;SS113;Dir;;;itasic.ss113dir;
itass2;ITA-SIC;SS114;;;;itasic.ss114;
itass2;ITA-SIC;SS114;Dir;;;itasic.ss114dir;
itass2;ITA-SIC;SS115;;;;itasic.ss115;
itass2;ITA-SIC;SS115;Dir;Mar;Marinella di Selinunte;itasic.ss115dirmar;
itass2;ITA-SIC;SS115;Dir;Maz;Mazara del Vallo;itasic.ss115dirmaz;
itass2;ITA-SIC;SS115;Ter;;;itasic.ss115ter;
itass2;ITA-SIC;SS115;Qua;;;itasic.ss115qua;
itass2;ITA-SIC;SS116;;;;itasic.ss116;
itass2;ITA-SIC;SS117;;;;itasic.ss117;
itass2;ITA-SIC;SS117;Bis;;;itasic.ss117bis;
itass2;ITA-SIC;SS117;Ter;;;itasic.ss117ter;
itass2;ITA-SIC;SS118;;;;itasic.ss118;
itass2;ITA-SIC;SS119;;;;itasic.ss119;
itass2;ITA-SIC;SS119;Dir;;;itasic.ss119dir;
itass2;ITA-SIC;SS120;;;;itasic.ss120;
itass2;ITA-SIC;SS120;Racc;;;itasic.ss120racc;
itass2;ITA-SIC;SS121;;;;itasic.ss121;
itass2;ITA-SIC;SS122;;;;itasic.ss122;
itass2;ITA-SIC;SS122;Bis;;;itasic.ss122bis;
itass2;ITA-SIC;SS122;Ter;;;itasic.ss122ter;
itass2;ITA-SIC;SS123;;;;itasic.ss123;
itass2;ITA-SIC;SS124;;;;itasic.ss124;
itass2;ITA-SAR;SS125;;Fox;Foxi;itasar.ss125fox;
itass2;ITA-SAR;SS125;;Ter;Tertenia;itasar.ss125ter;
itass2;ITA-SAR;SS125;;;Olbia;itasar.ss125;
itass2;ITA-SAR;SS125;Dir;;;itasar.ss125dir;
itass2;ITA-SAR;SS125;Var;Mur;Murera;itasar.ss125varmur;
itass2;ITA-SAR;SS125;Var;Bar;Bari;itasar.ss125varbar;
itass2;ITA-SAR;SS126;;;;itasar.ss126;
itass2;ITA-SAR;SS126;Dir;;;itasar.ss126dir;
itass2;ITA-SAR;SS127;;;;itasar.ss127;
itass2;ITA-SAR;SS127;Bis;;;itasar.ss127bis;
itass2;ITA-SAR;SS128;;;;itasar.ss128;
itass2;ITA-SAR;SS128;Bis;;;itasar.ss128bis;
itass2;ITA-SAR;SS129;;;;itasar.ss129;
itass2;ITA-SAR;SS129;Bis;;;itasar.ss129bis;
itass2;ITA-SAR;SS130;;;;itasar.ss130;
itass2;ITA-SAR;SS130;Dir;;;itasar.ss130dir;
itass2;ITA-SAR;SS131;;;;itasar.ss131;
itass2;ITA-SAR;SS131;Bis;;;itasar.ss131bis;
itass2;ITA-SAR;SS131;Dir;Olb;Olbia;itasar.ss131dirolb;
itass2;ITA-SAR;SS131;Dir;Cag;Cagliari;itasar.ss131dircag;
itass2;ITA-SAR;SS132;;;;itasar.ss132;
itass2;ITA-SAR;SS133;;;;itasar.ss133;
itass2;ITA-SAR;SS133;Bis;;;itasar.ss133bis;
itass2;ITA-SAR;SS134;;;;itasar.ss134;
itass2;ITA-CAM;SS145;;;Castellammare di Stabia;itacam.ss145;
itass2;ITA-CAM;SS145;;Sor;Sorrento;itacam.ss145sor;
itass2;ITA-CAM;SS145;Var;;;itacam.ss145var;
itass2;ITA-UMB;SS146;;;;itaumb.ss146;
itass2;ITA-TOS;SS146;;;;itatos.ss146;
itass2;ITA-LAZ;SS148;;;;italaz.ss148;
itass2;ITA-ABR;SS150;;;;itaabr.ss150;
itass2;ITA-ABR;SS151;;;;itaabr.ss151;
itass2;ITA-ABR;SS153;;;;itaabr.ss153;
itass2;ITA-LAZ;SS155;;;;italaz.ss155;
itass2;ITA-LAZ;SS156;;;;italaz.ss156;
itass2;ITA-MOL;SS158;;;;itamol.ss158;
itass2;ITA-CAM;SS162;Dir;;;itacam.ss162dir;
itass2;ITA-CAM;SS162;NC;;;itacam.ss162nc;
itass2;ITA-CAM;SS163;;;;itacam.ss163;
itass2;ITA-CAM;SS166;;;;itacam.ss166;
itass2;ITA-BAS;SS169;;;;itabas.ss169;
itass2;ITA-PUG;SS170;Dir;;;ita.ss170dir;
itass2;ITA-PUG;SS172;;;;itapug.ss172;
itass2;ITA-PUG;SS172;Dir;;;itapug.ss172dir;
itass2;ITA-CAL;SS177;;;;itacal.ss177;
itass2;ITA-CAL;SS179;;;;itacal.ss179;
itass2;ITA-CAL;SS179;Dir;;;itacal.ss179dir;
itass2;ITA-CAL;SS182;;;Vibo Valentia;itacal.ss182;
itass2;ITA-CAL;SS182;;Chi;Chiaravalle Centrale;itacal.ss182chi;
itass2;ITA-SIC;SS185;;;;itasic.ss185;
itass2;ITA-SIC;SS186;;;;itasic.ss186;
itass2;ITA-SIC;SS187;;;;itasic.ss187;
itass2;ITA-SIC;SS188;;;;itasic.ss188;
itass2;ITA-SIC;SS188;Dir;Vit;Vita;itasic.ss188dirvit;
itass2;ITA-SIC;SS188;Dir;Cam;Campofiorito;itasic.ss188dircam;
