System;Region;Route;SignedRoutes;ConcurrentRoutes;City;Filename root;AltRouteNames
usaorh;OR;ORH144;OR 217;;;or.orh144;Beaverton-Tigard Freeway
usaorh;OR;ORH150;OR 221;;;or.orh150;Salem-Dayton Highway
usaorh;OR;ORH151;OR 240;;;or.orh151;Yamhill-Newberg Highway
usaorh;OR;ORH153;;;;or.orh153;Bellevue-Hopewell Highway
usaorh;OR;ORH154;OR 233;;;or.orh154;Lafayette Highway
usaorh;OR;ORH155;OR 233;;;or.orh155;Amity-Dayton Highway
usaorh;OR;ORH157;OR 18B;;;or.orh157;Willamina-Sheridan Highway
usaorh;OR;ORH160;OR 213;;;or.orh160;Cascade Highway South
usaorh;OR;ORH161;OR 211;;;or.orh161;Woodburn-Estacada Highway
usaorh;OR;ORH163;OR 22;;;or.orh162;North Santiam Highway
usaorh;OR;ORH163;;;;or.orh164;Jefferson Highway
usaorh;OR;ORH171;OR 224;;;or.orh171;Clackamas Highway (Milwaukie Expressway)
usaorh;OR;ORH172;OR 211;;;or.orh172;Eagle Creek-Sandy Highway
usaorh;OR;ORH173;;;;or.orh173;Timberline Highway
usaorh;OR;ORH174;OR 212;;;or.orh174;Clackamas-Boring Highway
usaorh;OR;ORH180;;;;or.orh180;Eddyville-Blodgett Highway
usaorh;OR;ORH181;OR 229;;;or.orh181;Siletz Highway
usaorh;OR;ORH182;;;;or.orh182;Otter Rock Highway
usaorh;OR;ORH189;OR 223S;;;or.orh189;Dallas-Rickreall Highway
usaorh;OR;ORH191;OR 223;;;or.orh191;Kings Valley Highway
usaorh;OR;ORH193;OR 51;;;or.orh193;Independence Highway
usaorh;OR;ORH194;;;;or.orh194;Monmouth Highway
usaorh;OR;ORH200;;;;or.orh200;Territorial Highway
usaorh;OR;ORH201;OR 501;;;or.orh201;Alsea-Deadwood Highway
usaorh;OR;ORH210;US 20,OR 34;;;or.orh210;Corvallis-Lebanon Highway
usaorh;OR;ORH211;OR 226;;;or.orh211;Albany-Lyons Highway
usaorh;OR;ORH212;OR 228;;;or.orh212;Halsey-Sweet Home Highway
usaorh;OR;ORH215;OR 126;;;or.orh215;Clear Lake-Belknap Springs Highway
usaorh;OR;ORH222;;;;or.orh222;Springfield-Creswell Highway
usaorh;OR;ORH225;;;;or.orh225;McVay Highway
usaorh;OR;ORH226;OR 99;;;or.orh226;Goshen-Divide Highway
usaorh;OR;ORH227;I-105,OR 126;;;or.orh227;Eugene-Springfield Freeway
usaorh;OR;ORH228;OR 528;;;or.orh528;Sprinfield Highway
usaorh;OR;ORH229;OR 36;;;or.orh229;Mapleton-Junction City Highway
usaorh;OR;ORH230;OR 227;;;or.orh230;Tiller-Trail Highway
usaorh;OR;ORH231;OR 138;;;or.orh231;Elkton-Sutherlin Highway
usaorh;OR;ORH233;OR 230;;;or.orh233;West Diamond Lake Highway
usaorh;OR;ORH234;OR 99;;;or.orh234;Oakland-Shady Highway
usaorh;OR;ORH235;OR 99;;;or.orh235;Dillard Highway
usaorh;OR;ORH236;OR 99;;;or.orh236;Drain-Yoncalla Highway
usaorh;OR;ORH237;OR 99,US 99H;;;or.orh237;Myrtle Creek Highway
usaorh;OR;ORH240;OR 540;;;or.orh240;Cape Arago Highway
usaorh;OR;ORH241;OR 241;;;or.orh241;Coos River Highway
usaorh;OR;ORH242;OR 542;;;or.orh242;Powers Highway
usaorh;OR;ORH244;OR 42S;;;or.orh244;Bandon-Coquille Highway
usaorh;OR;ORH250;OR 250;;;or.orh250;Cape Blanco Highway
usaorh;OR;ORH251;OR 251;;;or.orh251;Port Orford Highway
usaorh;OR;ORH255;OR 255;;;or.orh255;Carpenterville Highway
usaorh;OR;ORH260;OR 260;;;or.orh260;Rogue River Loop Highway
usaorh;OR;ORH270;OR 140;;;or.orh270;Lake of the Woods Highway
usaorh;OR;ORH271;OR 234;;;or.orh271;Sams Valley Highway
usaorh;OR;ORH271Y;OR 99;;;or.orh271y;Gold Hill Spur
usaorh;OR;ORH272;OR 238;;;or.orh272;Jacksonville Highway
usaorh;OR;ORH273;;;;or.orh273;Siskiyou Highway
usaorh;OR;ORH281;OR 281;;;or.orh281;Hood River Highway
usaorh;OR;ORH282;OR 282;;;or.orh282;Odell Highway
usaorh;OR;ORH290;OR 216;;;or.orh290;Sherars Bridge Highway
usaorh;OR;ORH291;OR 218;;;or.orh291;Shaniko-Fossil Highway
usaorh;OR;ORH292;US 30;;;or.orh292;Mosier-The Dalles Highway
usaorh;OR;ORH293;OR 293;;;or.orh293;Antelope Highway
usaorh;OR;ORH300;OR 206;;;or.orh300;Wasco-Heppner Highway
usaorh;OR;ORH301;OR 206;;;or.orh301;Celilo-Wasco Highway
usaorh;OR;ORH301Y;;;Celilo;or.orh301ycel;Celilo-Wasco Highway Spur
usaorh;OR;ORH320;OR 207;;;or.orh320;Lexington-Echo Highway
usaorh;OR;ORH321;OR 207;;;or.orh321;Heppner-Spray Highway
usaorh;OR;ORH330;OR 204;;;or.orh330;Weston-Elgin Highway
usaorh;OR;ORH331;OR 331;;;or.orh331;Umatilla Mission Highway
usaorh;OR;ORH332;OR 332;;;or.orh332;Sunnyside-Umapine Highway
usaorh;OR;ORH333;OR 207;;;or.orh333;Hermiston Highway
usaorh;OR;ORH334;OR 334;;;or.orh334;Athena-Holdman Highway
usaorh;OR;ORH335;OR 335;;;or.orh335;Havana-Helix Highway
usaorh;OR;ORH339;OR 339;;;or.orh228;Freewater Highway
usaorh;OR;ORH340;OR 203;;;or.orh340;Medical Springs Highway
usaorh;OR;ORH341;OR 244;;;or.orh341;Ukiah-Hilgard Highway
usaorh;OR;ORH342;OR 237;;;or.orh237;Cove Highway
usaorh;OR;ORH350;;;;or.orh350;Little Sheep Creek Highway
usaorh;OR;ORH351;;;;or.orh351;Joseph-Lake Wallowa Highway
usaorh;OR;ORH360;US 26;;;or.orh360;Madras-Prineville Highway
usaorh;OR;ORH361;;;;or.orh361;Culver Highway
usaorh;OR;ORH370;;;;or.orh370;O'Neil Highway
usaorh;OR;ORH372;NFR 46;;;or.orh372;Century Drive
usaorh;OR;ORH380;;;;or.orh380;Paulina Highway
usaorh;OR;ORH390;OR 207;;;or.orh390;Service Creek-Mitchell Highway
usaorh;OR;ORH402;OR 402;;;or.orh402;Kimberly-Long Creek Highway
usaorh;OR;ORH410;OR 410;;;or.orh410;Sumpter Highway
usaorh;OR;ORH413;OR 413;;;or.orh413;Halfway-Cornucopia Highway
usaorh;OR;ORH414;OR 414;;;or.orh414;Pine Creek Highway
usaorh;OR;ORH415;OR 245;;;or.orh415;Dooley Mountain Highway
usaorh;OR;ORH420;;;;or.orh420;Midland Trail
usaorh;OR;ORH422;;;;or.orh422;Chilquin Highway
usaorh;OR;ORH422Y;;;Chiloquin;or.orh422ychi;Chiloquin
usaorh;OR;ORH424;OR 140;;;or.orh424;South Klamath Falls Highway
usaorh;OR;ORH426;OR 39;;;or.orh426;Hatfield Highway
usaorh;OR;ORH429;;;;or.orh429;Crescent Lake Highway
usaorh;OR;ORH431;OR 140;;;or.orh431;Warner Highway
usaorh;OR;ORH440;OR 205;;;or.orh440;Frenchglen Highway
usaorh;OR;ORH442;OR 78;;;or.orh442;Steens Highway
usaorh;OR;ORH449;US 30B;;;or.orh449;Huntington Highway
usaorh;OR;ORH450;OR 201;;;or.orh450;Succor Creek Highway
usaorh;OR;ORH450Y;OR 452;;Adrian;or.orh450yadr;Parma Spur
usaorh;OR;ORH450Y;OR 201;;Homedale;or.orh450yhom;Homedale Spur
usaorh;OR;ORH451;;;;or.orh451;Vale-West Highway
usaorh;OR;ORH453;;;;or.orh453;Adrian-Arena Valley Highway
usaorh;OR;ORH454;;;;or.orh454;Adrian-Caldwell Highway
usaorh;OR;ORH455;OR 201;;;or.orh455;Olds Ferry Highway
usaorh;OR;ORH455Y;US 95S;;Weiser Junction;or.orh455ywei;Weiser Spur
usaorh;OR;ORH455Y;OR 52;;Payette Junction;or.orh455ypay;Payette Spur
usaorh;OR;ORH455Y;US 30B,US 30;;Ontario;or.orh455yont;Ontario Spur
usaorh;OR;ORH456;US 95;;;or.orh456;Idaho Oregon Nevada Highway
