System;Region;Route;Banner;Locale;Label;File;AltRouteNames
usapr;PR;PR563;;;;pr.pr0563;
usapr;PR;PR564;;;;pr.pr0564;
usapr;PR;PR565;;;;pr.pr0565;
usapr;PR;PR566;;;;pr.pr0566;
usapr;PR;PR567;;;;pr.pr0567;
usapr;PR;PR568;;;;pr.pr0568;
usapr;PR;PR569;;;;pr.pr0569;
usapr;PR;PR570;;;;pr.pr0570;
usapr;PR;PR571;;;;pr.pr0571;
usapr;PR;PR572;;;;pr.pr0572;
usapr;PR;PR573;;;;pr.pr0573;
usapr;PR;PR574;;;;pr.pr0574;
usapr;PR;PR575;;;;pr.pr0575;
usapr;PR;PR576;;;;pr.pr0576;
usapr;PR;PR577;;;;pr.pr0577;
usapr;PR;PR578;;;;pr.pr0578;
usapr;PR;PR580;;;;pr.pr0580;
usapr;PR;PR581;;;;pr.pr0581;
usapr;PR;PR583;;;;pr.pr0583;
usapr;PR;PR584;;;;pr.pr0584;
usapr;PR;PR585;;;;pr.pr0585;
usapr;PR;PR586;;;;pr.pr0586;
usapr;PR;PR589;;;;pr.pr0589;
usapr;PR;PR590;;;;pr.pr0590;
usapr;PR;PR591;;;;pr.pr0591;
usapr;PR;PR592;;;;pr.pr0592;
usapr;PR;PR593;;;;pr.pr0593;
usapr;PR;PR595;;;;pr.pr0595;
usapr;PR;PR596;;;;pr.pr0596;
usapr;PR;PR597;;;;pr.pr0597;
usapr;PR;PR599;;;;pr.pr0599;
usapr;PR;PR600;;;;pr.pr0600;
usapr;PR;PR602;;;;pr.pr0602;
usapr;PR;PR603;;;Utuado(W);pr.pr0603;
usapr;PR;PR603;;Utu;Utuado(C);pr.pr0603utu;
usapr;PR;PR604;;;;pr.pr0604;
usapr;PR;PR605;;;;pr.pr0605;
usapr;PR;PR606;;;;pr.pr0606;
usapr;PR;PR607;;;;pr.pr0607;
usapr;PR;PR608;;;;pr.pr0608;
usapr;PR;PR610;;;;pr.pr0610;
usapr;PR;PR611;;;;pr.pr0611;
usapr;PR;PR612;;;;pr.pr0612;
usapr;PR;PR613;;;;pr.pr0613;
usapr;PR;PR614;;;;pr.pr0614;
usapr;PR;PR615;;;;pr.pr0615;
usapr;PR;PR616;;;;pr.pr0616;
usapr;PR;PR617;;;;pr.pr0617;
usapr;PR;PR618;;;;pr.pr0618;
usapr;PR;PR619;;;;pr.pr0619;
usapr;PR;PR620;;;;pr.pr0620;
usapr;PR;PR621;;;Arecibo;pr.pr0621;
usapr;PR;PR621;;Utu;Utuado;pr.pr0621utu;
usapr;PR;PR622;;;;pr.pr0622;
usapr;PR;PR623;;;;pr.pr0623;
usapr;PR;PR624;;;;pr.pr0624;
usapr;PR;PR625;;;;pr.pr0625;
usapr;PR;PR626;;;;pr.pr0626;
usapr;PR;PR627;;;;pr.pr0627;
usapr;PR;PR628;;;;pr.pr0628;
usapr;PR;PR629;;;;pr.pr0629;
usapr;PR;PR630;;;;pr.pr0630;
usapr;PR;PR631;;;;pr.pr0631;
usapr;PR;PR632;;;;pr.pr0632;
usapr;PR;PR633;;;;pr.pr0633;
usapr;PR;PR634;;;;pr.pr0634;
usapr;PR;PR635;;;;pr.pr0635;
usapr;PR;PR636;;;;pr.pr0636;
usapr;PR;PR637;;;;pr.pr0637;
usapr;PR;PR638;;;;pr.pr0638;
usapr;PR;PR639;;;;pr.pr0639;
usapr;PR;PR641;;;;pr.pr0641;
usapr;PR;PR642;;;;pr.pr0642;
usapr;PR;PR643;;;;pr.pr0643;
usapr;PR;PR644;;;;pr.pr0644;
usapr;PR;PR645;;;;pr.pr0645;
usapr;PR;PR646;;;;pr.pr0646;
usapr;PR;PR647;;;;pr.pr0647;
usapr;PR;PR648;;;;pr.pr0648;
usapr;PR;PR649;;;;pr.pr0649;
usapr;PR;PR650;;;;pr.pr0650;
usapr;PR;PR651;;;;pr.pr0651;
usapr;PR;PR652;;;;pr.pr0652;
usapr;PR;PR653;;;;pr.pr0653;
usapr;PR;PR655;;;;pr.pr0655;
usapr;PR;PR656;;;;pr.pr0656;
usapr;PR;PR657;;;;pr.pr0657;
usapr;PR;PR658;;;;pr.pr0658;
usapr;PR;PR659;;;;pr.pr0659;
usapr;PR;PR660;;;;pr.pr0660;
usapr;PR;PR661;;;;pr.pr0661;
usapr;PR;PR662;;;;pr.pr0662;
usapr;PR;PR663;;;;pr.pr0663;
usapr;PR;PR664;;;;pr.pr0664;
usapr;PR;PR665;;;;pr.pr0665;
usapr;PR;PR666;;;;pr.pr0666;
usapr;PR;PR667;;;;pr.pr0667;
usapr;PR;PR668;;;Manati(C);pr.pr0668;
