System;Region;Route;Banner;Abbreviation;City;Filename root;AltRouteNames
usaca;CA;CA68;;;;ca.ca068;
usaca;CA;CA70;;;;ca.ca070;
usaca;CA;CA70;Bus;Oro;Oroville;ca.ca070busoro;
usaca;CA;CA71;;;;ca.ca071;
usaca;CA;CA72;;;;ca.ca072;
usaca;CA;CA73;;;;ca.ca073;
usaca;CA;CA74;;;;ca.ca074;
usaca;CA;CA75;;;;ca.ca075;
usaca;CA;CA76;;;;ca.ca076;
usaca;CA;CA77;;;;ca.ca077;
usaca;CA;CA78;;;;ca.ca078;
usaca;CA;CA79;;;;ca.ca079;
usaca;CA;CA82;;;;ca.ca082;
usaca;CA;CA83;;;;ca.ca083;
usaca;CA;CA84;;;;ca.ca084;
usaca;CA;CA84;;Sac;Sacramento River;ca.ca084sac;
usaca;CA;CA85;;;;ca.ca085;
usaca;CA;CA86;;;;ca.ca086;
usaca;CA;CA86S;;;;ca.ca086s;
usaca;CA;CA87;;;;ca.ca087;
usaca;CA;CA88;;;;ca.ca088;
usaca;CA;CA89;;;;ca.ca089;
usaca;CA;CA90;;;;ca.ca090;
usaca;CA;CA90;;Imp;Imperial Highway;ca.ca090imp;
usaca;CA;CA91;;;;ca.ca091;
usaca;CA;CA92;;;;ca.ca092;
usaca;CA;CA94;;;;ca.ca094;
usaca;CA;CA96;;;;ca.ca096;
usaca;CA;CA98;;;;ca.ca098;
usaca;CA;CA99;;;;ca.ca099;
usaca;CA;CA99;Bus;Bak;Bakersfield;ca.ca099busbak;
usaca;CA;CA99;Bus;Atw;Atwater;ca.ca099busatw;
usaca;CA;CA99;Bus;Del;Delino;ca.ca099busdel;
usaca;CA;CA99;Bus;Mad;Madera;ca.ca099busmad;
usaca;CA;CA99;Bus;Mer;Merced;ca.ca099busmer;
usaca;CA;CA99;Bus;Tur;Turlock;ca.ca099bustur;
usaca;CA;CA99;Bus;Sto;Stockton;ca.ca099bussto;
usaca;CA;CA99;Bus;Lod;Lodi;ca.ca099buslod;
usaca;CA;CA103;;;;ca.ca103;
usaca;CA;CA104;;;;ca.ca104;
usaca;CA;CA107;;;;ca.ca107;
usaca;CA;CA108;;;;ca.ca108;
usaca;CA;CA109;;;;ca.ca109;
usaca;CA;CA110;;Gaf;Gaffey Street;ca.ca110gaf;
usaca;CA;CA110;;;;ca.ca110;
usaca;CA;CA111;;;;ca.ca111;
usaca;CA;CA111;Bus;Pal;Palm Springs;ca.ca111buspal;
usaca;CA;CA112;;;;ca.ca112;
usaca;CA;CA113;;;;ca.ca113;
usaca;CA;CA114;;;;ca.ca114;
usaca;CA;CA115;;;;ca.ca115;
usaca;CA;CA116;;;;ca.ca116;
usaca;CA;CA118;;;;ca.ca118;
usaca;CA;CA119;;;;ca.ca119;
usaca;CA;CA120;;;;ca.ca120;
usaca;CA;CA121;;;;ca.ca121;
usaca;CA;CA123;;;;ca.ca123;
usaca;CA;CA124;;;;ca.ca124;
usaca;CA;CA125;;;;ca.ca125;
