systemName;region;route;numWaypoints;midCoords;description;fileroot;(reserved)
b_country;_boundaries;B110;64;(4.14,-69.58);COL/VEN,BRA;b.110;
b_country;_boundaries;B111;44;(4.34,-62.81);VEN/BRA,GUY;b.111;
b_country;_boundaries;B112;41;(3.24,-58.61);GUY/BRA,GUF;b.112;
b_country;_boundaries;B113;108;(-37.04,-70.62);CHL/ARG,BOL;b.113;
b_country;_boundaries;B114;62;(-24.25,-57.38);PRY/BRA,ARG;b.114;
b_country;_boundaries;B115;7;(18.86,-71.77);HTI/DOM;b.115;
b_country;_boundaries;B116;57;(-13.51,-63.10);BOL/BRA,PRY;b.116;
b_country;_boundaries;B117;19;(-22.01,-64.28);BOL/PRY,ARG;b.117;
b_country;_boundaries;B118;11;(54.48,-7.31);IRL/GBR;b.118;
b_country;_boundaries;B119;7;(45.99,13.65);ITA/SVN;b.119;
b_country;_boundaries;B120;13;(42.83,22.67);SRB/BGR;b.120;
b_country;_boundaries;B121;5;(-8.15,141.01);IDN/PNG;b.121;
b_country;_boundaries;B122;3;(-6.64,140.96);IDN/PNG;b.122;
b_country;_boundaries;B123;7;(-4.60,141.01);IDN/PNG;b.123;
b_country;_boundaries;B124;4;(4.69,115.16);MYS/BRN;b.124;
b_country;_boundaries;B125;6;(4.53,114.69);MYS/BRN;b.125;
b_country;_boundaries;B126;5;(38.30,127.62);PRK/KOR;b.126;
b_country;_boundaries;B127;43;(43.97,80.52);CHN/KAZ,KGZ,TJK;b.127;
b_country;_boundaries;B128;7;(38.18,74.50);CHN/TJK;b.128;
b_country;_boundaries;B129;7;(34.32,78.60);CHN/IND;b.129;
b_country;_boundaries;B130;13;(21.80,101.68);CHN/LAO;b.130;
b_country;_boundaries;B132;9;(6.16,101.15);MYS/THA;b.132;
b_country;_boundaries;B133;8;(27.91,90.29);BTN/CHN;b.133;
b_country;_boundaries;B134;4;(29.25,45.50);SAU/IRQ;b.134;
b_country;_boundaries;B135;5;(28.86,47.33);KWY/SAU;b.135;
b_country;_boundaries;B136;3;(25.79,56.18);ARE/OMN;b.136;
b_country;_boundaries;B137;7;(17.05,43.47);YEM/SAU;b.137;
b_country;_boundaries;B138;4;(17.64,52.55);YEM/OMN;b.138;
b_country;_boundaries;B139;15;(-11.75,33.20);MWI/ZMB;b.139;
b_country;_boundaries;B140;3;(-5.52,12.40);COD/AGO;b.140;
b_country;_boundaries;B141;3;(-4.88,12.75);COD/COG;b.141;
b_country;_boundaries;B142;6;(1.28,10.66);GNQ/GAB;b.142;
b_country;_boundaries;B143;5;(22.45,10.14);DZA/NER;b.143;
b_country;_boundaries;B144;8;(13.34,1.23);NER/BFA;b.144;
b_country;_boundaries;B145;3;(19.89,5.92);DZA/NER;b.145;
b_country;_boundaries;B146;7;(9.98,-4.87);BFA/CIV;b.146;
b_country;_boundaries;B147;6;(9.72,-3.54);BFA/CIV;b.147;
b_country;_boundaries;B148;3;(8.17,-10.40);LBR/SLE;b.148;
b_country;_boundaries;B149;4;(7.33,-11.10);LBR/SLE;b.149;
b_country;_boundaries;B150;5;(7.94,-8.27);GIN/CIV;b.150;
b_country;_boundaries;B151;3;(8.42,-7.91);GIN/CIV;b.151;
b_country;_boundaries;B152;5;(8.95,-7.86);GIN/CIV;b.152;
b_country;_boundaries;B153;3;(9.82,-8.14);GIN/CIV;b.153;
b_country;_boundaries;B154;9;(12.45,-13.79);SEN/GNB,GIN;b.154;
b_country;_boundaries;B155;3;(14.95,-12.43);SEN/MRT;b.155;
b_country;_boundaries;B156;13;(16.11,-14.43);SEN/MRT;b.156;
b_country;_boundaries;B157;13;(34.50,8.39);TUN/DZA;b.157;
b_country;_boundaries;B158;8;(31.66,10.61);TUN/LBY;b.158;
b_country;_boundaries;B159;15;(25.84,12.11);LBY/DZA,TCD;b.159;
b_country;_boundaries;B160;5;(20.88,21.35);LBY/TCD;b.160;
b_country;_boundaries;B161;11;(27.78,24.96);EGY/LBY;b.161;
b_country;_boundaries;B162;6;(4.36,-54.25);SUR/GUF;b.162;
b_country;_boundaries;B163;4;(2.94,-54.23);SUR/GUF;b.163;
b_country;_boundaries;B164;7;(3.09,-52.36);GUF/BRA;b.164;
b_country;_boundaries;B165;12;(2.27,-54.84);BRA/GUF,SUR;b.165;
b_country;_boundaries;B166;5;(-26.41,-53.80);BRA/ARG;b.166;
b_country;_boundaries;B167;4;(-25.58,-54.34);BRA/ARG;b.167;
b_country;_boundaries;B168;15;(-31.60,-55.02);URY/BRA;b.168;
b_country;_boundaries;B169;5;(-33.41,-58.29);URY/ARG;b.169;
