date;region;systemName;description;statusChange
2017-03-30;Ireland;irlr6;Ireland Regional Roads 6xx;preview
2017-03-30;Ireland;irlr7;Ireland Regional Roads 7xx;preview
2017-03-30;Ireland;irlr8;Ireland Regional Roads 8xx;preview
2017-03-30;Ireland;irlr9;Ireland Regional Roads 9xx;preview
2017-03-26;(Germany) Bavaria;deubyst;Bavaria Staatsstraßen;preview
2017-03-21;Spain;espn;Spain Carretera Nacionales;preview
2017-02-28;Gabon;gaba;Gabon Autoroutes;preview
2017-02-28;Senegal;sena;Senegal Autoroutes;preview
2017-02-28;Sri Lanka;lkaa;Sri Lanka A Roads;preview
2017-02-23;Norway;norfv0;Norway Primære Fylkesveier 7-98;preview
2017-02-13;Iceland;islth;Iceland Þjóðvegur;preview
2017-02-03;(Canada) Newfoundland and Labrador;cannl;Newfoundland and Labrador Provincial Highways;preview
2017-01-27;Estonia;estt;Estonia Tugimaanteed;preview
2017-01-20;(USA) Georgia;usaga;Georgia State Highways;preview
2017-01-18;(USA) Tennessee;usatn;Tennessee State Highways;preview
2017-01-18;Lithuania;ltuk;Lithuania Krašto Keliai;preview
2017-01-10;Kosovo;rksn;Kosovo National Roads;active
2017-01-10;Macedonia;mkda;Macedonia Magistrale;active
2017-01-10;Montenegro;mnem;Montenegro Magistralni Put;active
2016-12-27;Sweden;swel;Sweden Primära Länsvägar;preview
2016-12-18;Netherlands;nlds;Netherlands Stadsroutes;preview
2016-12-14;Netherlands;nldr;Netherlands Rijkswegen;active
2016-12-14;Netherlands;nldp;Netherlands Provinciale Wegen;preview
2016-12-03;Czechia;czeii;Czechia Silnice II. Třídy;preview
2016-11-30;(Canada) Manitoba;canmb;Manitoba Provincial Trunk Highways;preview
2016-11-29;(Canada) Alberta;canab;Alberta Provincial Highways 1-216;active
2016-11-25;Bulgaria;bgri;Bulgaria First and Second Class Roads;active
2016-11-25;Hungary;hunf;Hungary Főútjai;active
2016-11-25;Moldova;mdam;Moldova Magistrale;active
2016-11-25;Portugal;prtip;Portugal Itinerários Principais;active
2016-11-25;Portugal;prtve;Madeira Via Expresso;active
2016-11-25;Slovakia;svki;Slovakia Cesta I. Triedy;active
2016-11-24;Kazakhstan;asiah;UNESCAP Asian Highways;active
2016-11-24;Kyrgyzstan;asiah;UNESCAP Asian Highways;active
2016-11-24;Tajikistan;asiah;UNESCAP Asian Highways;active
2016-11-24;Turkmenistan;asiah;UNESCAP Asian Highways;active
2016-11-24;Uzbekistan;asiah;UNESCAP Asian Highways;active
2016-11-24;Georgia;cisa;Central Asian doroga nacional'nogo znacenija;active
2016-11-24;Tajikistan;cisa;Central Asian doroga nacional'nogo znacenija;active
2016-11-24;Turkmenistan;cisa;Central Asian doroga nacional'nogo znacenija;active
2016-11-24;Uzbekistan;cisa;Central Asian doroga nacional'nogo znacenija;active
2016-11-24;Kazakhstan;cism;Central Asian Magistral;active
2016-11-24;Tajikistan;cism;Central Asian Magistral;active
2016-11-24;Turkmenistan;cism;Central Asian Magistral;active
2016-11-24;Uzbekistan;cism;Central Asian Magistral;active
2016-11-24;Kazakhstan;kaza;Kazakhstan Main Roads;active
2016-11-24;Kyrgyzstan;kgzem;Kyrgyzstan ЭМ Roads;active
2016-11-24;Russia;rusm;Russia Moskva Roads;active
2016-11-13;Croatia;hrvd;Croatia Državne Ceste;preview
2016-11-05;(USA) Kentucky;usaky;Kentucky State Highways 1-1499;extended
2016-11-05;(USA) Kentucky;usaky4;Kentucky State Highways 1500-1999;merged
2016-11-05;(USA) Kentucky;usaky5;Kentucky State Highways 2000-2499;merged
2016-11-05;(USA) Kentucky;usaky6;Kentucky State Highways 2500-2999;merged
2016-11-05;(USA) Kentucky;usaky7;Kentucky State Highways 3000-3499;merged
2016-11-05;(USA) Kentucky;usaky8;Kentucky State Highways 3500-6183;merged
2016-11-01;Armenia;asiah;UNESCAP Asian Highways;active
2016-11-01;Azerbaijan;asiah;UNESCAP Asian Highways;active
2016-11-01;Georgia;asiah;UNESCAP Asian Highways;active
2016-11-01;Turkey;asiah;UNESCAP Asian Highways;active
2016-11-01;Armenia;armm;Armenia Magistrale;active
2016-11-01;Azerbaijan;azem;Azerbaijan Magistrale;active
2016-11-01;Georgia;geos;Georgia Sakartvelo Roads;active
2016-11-01;Kazakhstan;kaza;Kazakhstan Main Roads;preview
2016-11-01;Kyrgyzstan;kgzem;Kyrgyzstan ЭМ Roads;preview
2016-10-27;(Netherlands) Aruba;abwrt;Aruba Routes;active
2016-10-24;Sweden;swer;Sweden Riksvägar;active
2016-10-10;Asia;cisa;Central Asian doroga nacional'nogo znacenija;preview
2016-10-09;Asia;asiahr;UNESCAP Asian Highways (for review);split
2016-10-09;Poland;poldk;Poland Drogi Krajowa;active
2016-10-02;Norway;norrv;Norway Riksveier;active
2016-09-18;Portugal;prtve;Madeira Via Expresso;preview
2016-09-18;Russia;rusm;Russia Moskva Roads;preview
2016-09-15;Slovenia;svng;Slovenia Glavne Ceste;active
2016-09-15;Asia;asiahp;UNESCAP Asian Highways (for preview);split
2016-09-09;Bosnia and Herzegovina;bihm;Bosnia and Herzegovina Magistrale;preview
2016-09-01;Asia;asim;ESCWA Arab Mashreq International Road Network;preview
2016-09-01;Belarus;blrm;Belarus Magistral;active
2016-09-01;Israel;isrf;Israel Freeways;active
2016-09-01;Morocco;mara;Morocco Autoroutes;active
2016-09-01;Portugal;prtip;Portugal Itinerários Principais;preview
2016-09-01;Ukraine;ukrm;Ukraine Mezdunarodnyj;active
2016-08-29;Czechia;czei;Czechia Silnice I. Třídy;preview
2016-08-21;Austria;autb;Austria Landesstraßen B;preview
2016-08-14;(USA) Indiana;usain;Indiana State Routes;active
2016-08-10;Switzerland;cheh;Switzerland Hauptstrassen;preview
2016-08-07;Sweden;swer;Sweden Riksvägar;preview
2016-07-19;Germany;deub;Germany Bundesstraßen;extended
2016-07-19;Germany;deub0;Germany Bundesstraßen 1-99;merged
2016-07-19;Germany;deub1;Germany Bundesstraßen 100-199;merged
2016-07-19;Germany;deub2;Germany Bundesstraßen 200-299;merged
2016-07-19;Germany;deub3;Germany Bundesstraßen 300-399;merged
2016-07-19;Germany;deub4;Germany Bundesstraßen 400-499;merged
2016-07-19;Germany;deub5;Germany Bundesstraßen 500-999;merged
2016-07-06;(USA) Colorado;usaco;Colorado State Highways;active
2016-07-04;Germany;deub3;Germany Bundesstraßen 300-399;preview
2016-07-02;Germany;deub2;Germany Bundesstraßen 200-299;preview
2016-06-26;Germany;deub5;Germany Bundesstraßen 500-999;preview
2016-06-23;Germany;deub1;Germany Bundesstraßen 100-199;preview
2016-06-21;Andorra;andcg;Andorra Carreteras Generales;active
2016-06-21;Cyprus;cypb;Cyprus B Roads;active
2016-06-21;Estonia;estt;Estonia Põhimaanteed;active
2016-06-21;Luxembourg;luxn;Luxembourg Nationalstroossen;active
2016-06-21;Malta;mltt;Malta Arterial Roads;active
2016-06-21;Romania;roudn;Romania Drumuri Naţionales;active
2016-06-21;Hungary;hunf;Hungary Főútjai;preview
2016-06-21;Poland;poldk;Poland Drogi Krajowa;preview
2016-06-21;Serbia;srbb;Serbia Državni Put;preview
2016-06-21;Slovakia;svki;Slovakia First Class Roads;preview
2016-06-17;Germany;deub0;Germany Bundesstraßen 1-99;preview
2016-06-08;(USA) Texas;usatx;Texas State Highways;active
2016-06-08;(USA) Texas;usatxl;Texas State Highway Loops;active
2016-06-08;(USA) Texas;usatxs;Texas State Highway Spurs;active
2016-06-06;Slovenia;svng;Slovenia Glavne Ceste;preview
2016-06-03;Norway;norrv;Norway Riksveier;preview
2016-05-23;(USA) Kentucky;usaky8;Kentucky State Highways 3500-6183;preview
2016-05-22;(USA) Kentucky;usaky7;Kentucky State Highways 3000-3499;preview
