System;CountryCode;Name;Color;Tier;Level
idnjt;IDN;Indonesia Jalan Tol;blue;1A;preview
islth;ISL;Iceland Þjóðvegur;lightsalmon;3A;preview
index;IND;India National Expressways;blue;1A;preview
irlr;IRL;Ireland Regional Roads;yellow;3C;preview
irnf;IRN;Iran Freeways;blue;1A;preview
isrh;ISR;Israel Highways;lightsalmon;3A;preview
jama;JAM;Jamaica A Roads;brown;3A;preview
korex;KOR;(South) Korean Expressways;blue;1A;preview
lkae;LKA;Sri Lanka Expressways;blue;1A;preview
lkaa;LKA;Sri Lanka A Roads;lightsalmon;3A;preview
ltuk;LTU;Lithuania Krašto Keliai;yellow;3B;preview
myse;MYS;Malaysia Expressways;blue;1A;preview
nldp;NLD;Netherlands Provinciale Wegen;yellow;3C;preview
nplh;NPL;Nepal Highways;lightsalmon;3A;preview
norfv0;NOR;Norway Primære Fylkesveier 7-98;yellow;3C;preview
nzlmot;NZL;New Zealand Motorways;blue;1A;preview
pakm;PAK;Pakistan Motorways;blue;1A;preview
phle;PHL;Philippines Expressways;blue;1A;preview
poldw1;POL;Poland Droga Wojewódzka 100-199;yellow;3C;preview
prtic;PRT;Portugal Itinerários Complementares;lightsalmon;3B;preview
srbb;SRB;Serbia Državni Put;lightsalmon;3A;preview
svkii;SVK;Slovakia Cesta II. Triedy;yellow;3B;preview
swel;SWE;Sweden Primära Länsvägar;yellow;3C;preview
twnf;CHN;Taiwan National Freeways;blue;1A;preview
usaak;USA;Alaska State Highways;brown;3C;preview
usaca;USA;California State Highways;brown;3C;preview
usaga;USA;Georgia State Highways;brown;3C;preview
usamts;USA;Montana Secondary State Highways;yellow;3D;preview
usapr;USA;Puerto Rico Territorial Highways;brown;3C;preview
usasc;USA;South Carolina State Highways;brown;3C;preview
usatn;USA;Tennessee State Highways;brown;3C;preview
zafn;ZAF;South Africa National Highways;lightsalmon;3A;preview
#Devel Systems
asiaho;ASI;UNESCAP / ASEAN Asian Highways (outlined);red;2A;devel
asimo;ASI;ESCWA Arab Mashreq International Road Network (outlined);red;2A;devel
beln6;BEL;Belgium Gewestwegen / Route Nationale 601-699;lightsalmon;3D;devel
beln7;BEL;Belgium Gewestwegen / Route Nationale 700-795;lightsalmon;3D;devel
beln8;BEL;Belgium Gewestwegen / Route Nationale 800-899;lightsalmon;3D;devel
beln9;BEL;Belgium Gewestwegen / Route Nationale 904-992;lightsalmon;3D;devel
