code;name;country;continent;regionType
IND-KA;Karnataka;IND;ASI;State
IND-KL;Kerala;IND;ASI;State
IND-LD;Lakshadweep;IND;ASI;Union Territory
IND-MH;Maharashtra;IND;ASI;State
IND-ML;Meghalaya;IND;ASI;State
IND-MN;Manipur;IND;ASI;State
IND-MP;Madhya Pradesh;IND;ASI;State
IND-MZ;Mizoram;IND;ASI;State
IND-NL;Nagaland;IND;ASI;State
IND-OR;Odisha;IND;ASI;State
IND-PB;Punjab;IND;ASI;State
IND-PY;Puducherry;IND;ASI;Union Territory
IND-RJ;Rajasthan;IND;ASI;State
IND-SK;Sikkim;IND;ASI;State
IND-TG;Telangana;IND;ASI;State
IND-TN;Tamil Nadu;IND;ASI;State
IND-TR;Tripura;IND;ASI;State
IND-UP;Uttar Pradesh;IND;ASI;State
IND-UT;Uttarakhand;IND;ASI;State
IND-WB;West Bengal;IND;ASI;State
IOT;British Indian Ocean Territory;GBR;ASI;Overseas Territory
IRL;Ireland;IRL;EUR;Country
IRN;Iran;IRN;ASI;Country
IRQ;Iraq;IRQ;ASI;Country
ISL;Iceland;ISL;EUR;Country
ISR;Israel;ISR;ASI;Country
ITA;Italy;ITA;EUR;Country
JAM;Jamaica;JAM;NA;Country
JEY;Jersey;JEY;EUR;Crown Dependency
JOR;Jordan;JOR;ASI;Country
JPN;Japan;JPN;ASI;Country
KAZ;Kazakhstan;KAZ;ASI;Country
KEN;Kenya;KEN;AFR;Country
KGZ;Kyrgyzstan;KGZ;ASI;Country
KHM;Cambodia;KHM;ASI;Country
KIR;Kiribati;KIR;OCE;Country
KNA;Saint Kitts and Nevis;KNA;NA;Country
KOR;Korea (South);KOR;ASI;Country
KS;Kansas;USA;NA;State
KWT;Kuwait;KWT;ASI;Country
KY;Kentucky;USA;NA;State
LA;Louisiana;USA;NA;State
LAO;Laos;LAO;ASI;Country
LBN;Lebanon;LBN;ASI;Country
LBR;Liberia;LBR;AFR;Country
LBY;Libya;LBY;AFR;Country
LCA;Saint Lucia;LCA;NA;Country
LIE;Liechtenstein;LIE;EUR;Country
LKA;Sri Lanka;LKA;ASI;Country
LSO;Lesotho;LSO;AFR;Country
LTU;Lithuania;LTU;EUR;Country
LUX;Luxembourg;LUX;EUR;Country
LVA;Latvia;LVA;EUR;Country
MA;Massachusetts;USA;NA;State
MAC;Macao;CHN;ASI;Special Administrative Region
