System;CountryCode;Name;Color;Tier;InDev
#cannf;CAN;Canada Select Named Freeways;teal;3;yes
#cansph;CAN;Canada Select Provincial Highways;brown;4;yes
gbna1;GBR;Great Britain A Roads (Zone 1);brown;4;yes
gbna6;GBR;Great Britain A Roads (Zone 6);brown;4;yes
gbna8;GBR;Great Britain A Roads (Zone 8);brown;4;yes
gbna9;GBR;Great Britain A Roads (Zone 9);brown;4;yes
usaak;USA;Alaska State Highways;brown;4;yes
#usaca;USA;California State Highways;brown;4;yes
usaco;USA;Colorado State Highways;brown;4;yes
#usafl;USA;Florida State Highways;brown;4;yes
usain;USA;Indiana State Highways;brown;4;yes
usaky3;USA;Kentucky State Highways 1000-1499;brown;4;yes
#usaky4;USA;Kentucky State Highways 1500-1999;brown;4;yes
#usala1;USA;Louisiana State Highways 1-499;brown;4;yes
usamt;USA;Montana Primary State Highways;brown;4;yes
usanp;USA;United States Select Scenic and National Park Highways;brown;4;yes
#usasc;USA;South Carolina State Highways;brown;4;yes
usawy;USA;Wyoming State Highways;brown;4;yes
usavt;USA;Vermont State Highways;brown;4;yes
