route;Waypoint1;Waypoint2;Waypoint3;Error;Info
ago.rtr20;Bal;Uss;;VISIBLE_DISTANCE;23.33
ago.rtr20;Cam;Cua;;VISIBLE_DISTANCE;13.21
ago.rtr20;Cang;Cav;;VISIBLE_DISTANCE;14.48
ago.rtr20;Cat;Cam;;VISIBLE_DISTANCE;16.35
ago.rtr20;Cav;EN170_W;;VISIBLE_DISTANCE;20.18
ago.rtr20;Chi;EN140_S;;VISIBLE_DISTANCE;27.86
ago.rtr20;Chin;Cue;;VISIBLE_DISTANCE;11.26
ago.rtr20;Chip;Cat;;VISIBLE_DISTANCE;14.19
ago.rtr20;Con;Bal;;VISIBLE_DISTANCE;26.82
ago.rtr20;Cua;Chin;;VISIBLE_DISTANCE;26.64
ago.rtr20;Cue;Mun;;VISIBLE_DISTANCE;36.98
ago.rtr20;EN100/250;Boc;;VISIBLE_DISTANCE;25.28
ago.rtr20;EN140_N;Chip;;VISIBLE_DISTANCE;14.27
ago.rtr20;EN140_S;CenKui;;VISIBLE_DISTANCE;14.62
ago.rtr20;EN170_E;AerLue;;VISIBLE_DISTANCE;22.08
ago.rtr20;EN170_W;EN170_E;;VISIBLE_DISTANCE;30.78
ago.rtr20;EN180/260;EN190/260;;VISIBLE_DISTANCE;126.13
ago.rtr20;EN190/260;AGO/ZMB;;VISIBLE_DISTANCE;31.31
ago.rtr20;EN250_E;SanCal;;VISIBLE_DISTANCE;10.43
ago.rtr20;EN350;Chiu;;VISIBLE_DISTANCE;28.16
ago.rtr20;EstChi;Con;;VISIBLE_DISTANCE;17.64
ago.rtr20;Lob;EN100/250;;VISIBLE_DISTANCE;17.17
ago.rtr20;MenSob;EN350;;VISIBLE_DISTANCE;10.83
ago.rtr20;Mua;Lon;;VISIBLE_DISTANCE;13.14
ago.rtr20;Mun;Cang;;VISIBLE_DISTANCE;21.00
ago.rtr20;SanCal;EN180/260;;VISIBLE_DISTANCE;74.95
ago.rtr201;ChiCho;EN250;;VISIBLE_DISTANCE;12.70
ago.rtr201;Tam;ChiCho;;VISIBLE_DISTANCE;16.79
ago.rtr202;Cac;Che;;VISIBLE_DISTANCE;19.15
ago.rtr202;Che;LumNgu;;VISIBLE_DISTANCE;21.55
ago.rtr202;Chia;Lum;;VISIBLE_DISTANCE;40.50
