country;state;viewid;name;lat;lon;radius;dimratio
SYS;USANH;0;New Hampshire State Highways;44.0161605;-71.63269;89.1556059779;1.9393378175
SYS;USANJ;0;New Jersey State Highways;40.1430085;-74.732639;83.9787475435;1.8942789959
SYS;USANM;0;New Mexico State Highways;34.1656655;-106.023717;195.7401816954;1.1335094961
SYS;USANSF;0;US Select Numbered Freeways;36.964216;-95.847469;1449.2217565979;0.5468058029
SYS;USANV;0;Nevada State Highways;38.497799;-117.0213625;241.3533849452;1.4993902381
SYS;USANY;0;New York State Highways;42.754441;-75.809109;200.4241036391;0.7783602966
SYS;USAOH;0;Ohio State Highways;40.1904525;-82.6700095;123.5434440694;1.0881607934
SYS;USAOK;0;Oklahoma State Highways;35.310848;-98.7171915;241.3320792901;0.4829578524
SYS;USAOR;0;Oregon State Routes;44.146315;-120.5144065;200.7147503372;0.7408443981
SYS;USAPA;0;Pennsylvania State Highways;40.995;-77.62;151.2570168344;0.582611734
SYS;USAPR;0;Puerto Rico State Highways;18.214246;-66.2692295;65.8388518358;0.3171957443
SYS;USARI;0;Rhode Island State Highways;41.6609875;-71.5035545;24.7482695942;1.2507487038
SYS;USASC;0;South Carolina State Highways;33.6187245;-80.9475975;138.5105961612;0.78916939
SYS;USASD;0;South Dakota State Highways;44.212496;-100.253253;188.1099290634;0.6364303441
SYS;USASF;0;US Select Named Freeways;36.964216;-95.847469;1449.2217565979;0.5468058029
SYS;USATN;0;Tennessee State Highways;35.8371305;-85.978663;242.359634128;0.2396939774
SYS;USATX;0;Texas State Highways;31.1685915;-100.0767845;386.6671058972;0.9491380796
SYS;USAUT;0;Utah State Highways;39.496396;-111.543471;172.5689376477;1.2955840579
SYS;USAVA;0;Virginia State Highways;38.0000535;-79.458705;229.365423734;0.4413318004
SYS;USAVT;0;Vermont State Highways;43.8706635;-72.4480925;79.0987703609;1.6140146821
SYS;USAWA;0;Washington State Highways;47.275227;-120.833746;183.3271508307;0.6508286829
SYS;USAWI;0;Wisconsin State Highways;44.7850765;-89.826841;158.4348997916;1.0548546257
SYS;USAWV;0;West Virginia State Highways;38.9201735;-80.1817065;132.4389728197;0.8970673849
SYS;USAWY;0;Wyoming State Highways;43.001364;-107.554222;176.8678644406;0.781339247
SYS;USAUSB;0;US Auxiliary Numbered Highways;36.964216;-95.847469;1449.2217565979;0.5468058029
TJK;ALL;0;Tajikistan;38.858218;71.245449;210.0049028286;0.7191081625
