state;Name;Pop.;latitude;longitude
CA;Richmond city;99216;37.936874;-122.342057
IA;Davenport city;98359;41.542982;-90.590745
MI;Dearborn city;97775;42.314586;-83.216633
NJ;Edison CDP;97687;40.538204;-74.378585
GA;Macon city;97255;32.834839;-83.651672
SC;Charleston city;96650;32.789295;-79.986255
CA;South Gate city;96375;33.944264;-118.194903
CA;Fairfield city;96178;38.257763;-122.054256
CA;Arden-Arcade CDP;96025;38.605154;-121.379750
OK;Norman city;95694;35.221617;-97.418236
NY;Albany city;95658;42.659829;-73.781339
MI;Clinton CDP;95648;42.580234;-82.917053
FL;Gainesville city;95447;29.665245;-82.336097
TX;Midland city;94996;32.005072;-102.099239
VA;Roanoke city;94911;37.276895;-79.955711
CA;El Cajon city;94869;32.798300;-116.960055
CO;Boulder city;94673;40.019425;-105.259502
NC;Cary town;94536;35.778919;-78.800208
IL;Elgin city;94487;42.039426;-88.288627
MA;Brockton city;94304;42.082500;-71.021788
MA;New Bedford city;93768;41.651803;-70.933705
CA;Compton city;93493;33.896715;-118.225078
CA;Mission Viejo city;93102;33.612739;-117.656038
KS;Olathe city;92962;38.880788;-94.803184
OK;Lawton city;92757;34.609424;-98.417781
CA;San Mateo city;92482;37.554286;-122.313044
CA;Santa Barbara city;92325;34.425804;-119.714189
MA;Fall River city;91938;41.698102;-71.146994
CA;Rialto city;91873;34.111360;-117.382403
TX;Richardson city;91802;32.965628;-96.715707
CA;Visalia city;91565;36.324100;-119.307347
WA;Everett city;91488;47.963434;-122.200527
TX;Odessa city;90943;31.863294;-102.365490
ND;Fargo city;90599;46.871414;-96.808658
CA;Antioch city;90532;37.992421;-121.802225
WI;Kenosha city;90352;42.582220;-87.845624
OR;Gresham city;90205;45.503692;-122.439425
CA;Vista city;89857;33.193549;-117.241140
MT;Billings city;89847;45.786553;-108.537139
CA;Carson city;89730;33.839684;-118.259588
MA;Lynn city;89050;42.473996;-70.955583
FL;Port St. Lucie city;88769;27.275772;-80.355029
PR;Caguas zona urbana;88680;18.232789;-66.037229
CA;Vacaville city;88625;38.353810;-121.972683
TX;San Angelo city;88439;31.453113;-100.452502
UT;Sandy city;88418;40.572415;-111.859610
MD;Columbia CDP;88254;39.203573;-76.857034
CA;Westminster city;88207;33.751418;-117.993929
MA;Quincy city;88025;42.260566;-71.005851
FL;Miami Beach city;87933;25.813025;-80.134065
IL;Waukegan city;87901;42.372471;-87.861521
MN;Duluth city;86918;46.780373;-92.117079
TX;Killeen city;86911;31.105591;-97.726586
NH;Nashua city;86605;42.751038;-71.480817
MI;Westland city;86602;42.316604;-83.375405
NJ;Toms River CDP;86327;39.979270;-74.167512
NC;High Point city;85839;35.970536;-79.997510
RI;Warwick city;85808;41.718114;-71.415227
MN;Rochester city;85806;44.025763;-92.473226
CA;Alhambra city;85804;34.081859;-118.135052
GA;Sandy Springs CDP;85781;33.937401;-84.368625
FL;Sunrise city;85779;26.157145;-80.286002
OH;Parma city;85655;41.391852;-81.728502
IL;Cicero town;85616;41.845232;-87.759933
NJ;Trenton city;85403;40.221741;-74.756138
MN;Bloomington city;85172;44.833714;-93.309973
CA;Citrus Heights city;85071;38.694702;-121.290548
IA;Sioux City city;85013;42.497957;-96.395705
MO;Columbia city;84531;38.948351;-92.333779
UT;Orem city;84324;40.298753;-111.696486
CA;Hawthorne city;84112;33.917214;-118.348607
CA;Santa Monica city;84084;34.022059;-118.481336
MA;Newton city;83829;42.337713;-71.209936
CA;Whittier city;83680;33.965662;-118.024495
TX;Tyler city;83650;32.334249;-95.299927
WA;Federal Way city;83259;47.312960;-122.339173
IN;Hammond city;83048;41.611185;-87.493080
CT;Norwalk city;82951;41.110079;-73.421902
FL;Plantation city;82934;26.124354;-80.249503
CO;Thornton city;82384;39.903043;-104.954406
MI;Farmington Hills city;82111;42.486120;-83.375516
FL;West Palm Beach city;82103;26.709992;-80.064373
OH;Youngstown city;82026;41.096258;-80.649299
IL;Decatur city;81860;39.851636;-88.944228
WI;Racine city;81855;42.726052;-87.805873
PA;Reading city;81207;40.341692;-75.926301
MI;Troy city;80959;42.580141;-83.142980
CA;Redding city;80865;40.576606;-122.370325
OH;Canton city;80806;40.804958;-81.375792
TX;Denton city;80537;33.216296;-97.129194
AR;Fort Smith city;80268;35.368691;-94.398737
KS;Lawrence city;80098;38.959902;-95.253199
NY;Cheektowaga CDP;79988;42.911958;-78.759679
CA;Roseville city;79921;38.752434;-121.289338
NJ;Camden city;79904;39.937195;-75.106186
SC;North Charleston city;79641;32.885379;-80.016881
WA;Kent city;79524;47.382689;-122.227021
CA;San Leandro city;79452;37.710697;-122.153357
FL;Palm Bay city;79413;27.982980;-80.658798
CA;Lakewood city;79345;33.847365;-118.119889
GA;Roswell city;79334;34.033896;-84.344028
RI;Cranston city;79269;41.773200;-71.453289
PR;Guaynabo zona urbana;78806;18.386459;-66.113793
NJ;Clifton city;78672;40.867899;-74.154520
PR;Mayagüez zona urbana;78647;18.201578;-67.142985
FL;Lakeland city;78452;28.041248;-81.958978
MI;Southfield city;78296;42.479641;-83.244955
CA;Buena Park city;78282;33.856214;-118.004169
CA;Carlsbad city;78247;33.121990;-117.296811
FL;Pompano Beach city;78191;26.234659;-80.125615
AL;Tuscaloosa city;77906;33.206540;-87.534607
FL;Brandon CDP;77895;27.934651;-82.289078
TX;Lewisville city;77737;33.038316;-97.006232
AZ;Yuma city;77515;32.692148;-114.615389
MA;Somerville city;77478;42.390546;-71.103683
CA;Santa Maria city;77423;34.951377;-120.433373
UT;Ogden city;77226;41.227744;-111.961193
MI;Kalamazoo city;77145;42.279207;-85.583902
GA;Albany city;76939;31.582273;-84.165557
CO;Greeley city;76930;40.415119;-104.723988
MD;Silver Spring CDP;76540;39.004242;-77.019004
PA;Scranton city;76415;41.410629;-75.667411
MI;Canton CDP;76366;42.312538;-83.475053
OR;Beaverton city;76129;45.479686;-122.809954
IL;Arlington Heights village;76031;42.094976;-87.980873
NC;Wilmington city;75838;34.223232;-77.912122
CA;Baldwin Park city;75837;34.082809;-117.971677
FL;Davie town;75720;26.081426;-80.280223
CA;Redwood City city;75402;37.482887;-122.236006
IL;Schaumburg village;75386;42.030051;-88.087414
FL;Kendall CDP;75226;25.666781;-80.356533
OK;Broken Arrow city;74859;36.036305;-95.783616
CT;Danbury city;74848;41.403444;-73.460698
FL;Boca Raton city;74764;26.368699;-80.100077
NM;Las Cruces city;74267;32.319693;-106.765157
IL;Evanston city;74239;42.046380;-87.694608
MO;St. Joseph city;73990;39.757944;-94.836541
CA;Livermore city;73345;37.685496;-121.764096
TX;Longview city;73344;32.509147;-94.753909
MI;Waterford CDP;73150;42.660082;-83.379736
RI;Pawtucket city;72958;41.875499;-71.375981
CA;Bellflower city;72878;33.888165;-118.127604
FL;Miramar city;72739;25.978812;-80.282489
DE;Wilmington city;72664;39.748563;-75.551581
CA;Napa city;72585;38.304764;-122.298885
FL;Town 'n' Country CDP;72523;28.010046;-82.572815
CA;Alameda city;72259;37.763971;-122.256810
NY;New Rochelle city;72182;40.928584;-73.784230
MA;Lawrence city;72043;42.703741;-71.162979
WA;Yakima city;71845;46.596728;-120.529657
LA;Lake Charles city;71757;30.214656;-93.208537
CT;New Britain city;71538;41.674266;-72.784303
FL;Melbourne city;71382;28.115023;-80.631925
PA;Bethlehem city;71329;40.626198;-75.375673
MS;Gulfport city;71127;30.401641;-89.076169
CO;Longmont city;71093;40.171583;-105.109085
CO;Highlands Ranch CDP;70931;39.544549;-104.968080
CA;Mountain View city;70708;37.392640;-122.082023
MO;Lee's Summit city;70700;38.922607;-94.374127
LA;Kenner city;70517;30.009610;-90.250585
OR;Hillsboro city;70186;45.523776;-122.942865
WI;Appleton city;70087;44.265536;-88.401655
CA;Newport Beach city;70032;33.616671;-117.897604
CA;Lynwood city;69845;33.924642;-118.201862
NJ;East Orange city;69824;40.766050;-74.211699
FL;Deltona city;69543;28.907032;-81.216345
FL;Largo city;69371;27.908355;-82.777791
MI;Wyoming city;69368;42.899827;-85.698730
IN;Bloomington city;69291;39.162147;-86.529045
FL;Spring Hill CDP;69078;28.478929;-82.547732
NC;Asheville city;68889;35.579862;-82.555810
MI;Rochester Hills city;68825;42.665706;-83.158137
TN;Murfreesboro city;68816;35.857700;-86.394725
IA;Waterloo city;68747;42.492436;-92.346161
OH;Lorain city;68652;41.448241;-82.168862
CA;Clovis city;68468;36.819432;-119.694723
CA;Upland city;68393;34.113259;-117.658386
NY;Mount Vernon city;68381;40.914060;-73.830507
UT;West Jordan city;68336;40.606385;-111.976217
OK;Edmond city;68315;35.657154;-97.464916
TX;College Station city;67890;30.601433;-96.314464
NJ;Passaic city;67861;40.857384;-74.128997
IL;Champaign city;67518;40.112981;-88.261227
CA;Tustin city;67504;33.739618;-117.813533
IN;Muncie city;67430;40.193243;-85.388194
