labelid;type;name;localname;lat;lon;size;rotation
185;W;Lake Superior;;47.66;-87.87;0.75;0
186;W;Lake of the Woods;;49.06;-94.9;0.1;0
187;W;Lake Winnipeg;;52.86;-98.11;0.2;0
188;W;Lake Manitoba;;50.47;-98.31;0.1;0
189;W;Lake Winnepegosis;;52.94;-100.15;0.1;0
190;W;Reindeer Lake;;57.57;-102.3;0.13;0
191;W;Lake Athabasca;;59.26;-109.16;0.2;0
192;W;Great Slave Lake;;61.64;-114.15;0.3;0
193;W;Great Bear Lake;;66.09;-119.8;0.35;0
194;W;Hudson Bay;;59.69;-86.13;1;0
195;W;Foxe Basin;;66.39;-78.93;1;0
196;W;Baffin Bay;;74.22;-67.68;1;0
197;W;Gulf of Mexico;;25.28;-89.96;1;0
198;W;Caribbean Sea;;14.9;-73.83;1;0
199;W;Bering Sea;;57.63;-179.65;1;0
200;W;Chukchi Sea;;69.96;-172.62;1;0
201;W;Arctic Ocean;;79.75;-168;3;0
202;W;Arctic Ocean;;82.65;13.18;3;0
203;W;Gulf of California;;24.65;-109.34;0.35;0
204;W;Pacific Ocean;;38.41;-165;3;0
205;W;Great Salt Lake;;41.08;-112.48;0.1;0
206;W;Caspian Sea;;42.59;49.88;1;0
207;S;Adygeya;;44.9;40.22;0.15;0
208;S;Astrakhan;;47.26;47.64;0.5;0
209;S;Bashkortostan;;54.075;56.5;0.9;0
210;S;Belgorod;;50.79;37.27;0.8;0
211;S;Bryansk;;52.83;33.3;1;0
212;S;Chechnya;;43.47;45.75;0.3;0
213;S;Chelyabinsk;;54.36;61.27;0.7;0
214;S;Chuvashia;;55.68;47.08;0.7;0
215;S;Dagestan;;42.33;46.91;0.55;0
216;S;Ingushetia;;43.33;44.88;0.2;0
217;S;Kabardino-Balkaria;;43.55;43.48;0.2;0
218;S;Krasnodar;;45.58;39.3;0.75;0
219;S;Kaliningrad;;54.8;21.275;0.6;0
220;S;Kurgan;;55.45;64.95;1;0
221;S;Kalmykia;;46.66;45.37;0.8;0
222;S;Kaluga;;54.25;34.97;0.8;0
223;S;Karelia;;63.675;33.6;1;0
224;S;Kursk;;51.675;36.325;1;0
225;S;Leningrad;;59.7;32.82;0.8;0
226;S;Lipetsk;;52.78;39;0.7;0
227;S;Mordovia;;54.25;44.51;0.8;0
228;S;Moskva;;56.14;36.96;0.5;0
229;S;Moskva (City);;55.78;37.61;0.04;0
230;S;Murmansk;;67.975;34.9;1;0
231;S;Novgorod;;58.49;32.55;1;0
232;S;Nizhegorod;;55.89;44.21;0.75;0
233;S;Omsk;;56;73.375;1;0
234;S;Orenburg;;51.4;56.31;1;0
235;S;Oryol;;52.775;36.45;1;0
236;S;Perm;;58.9;56.34;1;0
237;S;Penza;;53.175;44.525;1;0
238;S;Pskov;;57.3;29.01;1;0
239;S;Rostov;;47.18;41.3;1;0
240;S;Ryazan;;54.35;40.65;1;0
241;S;Samara;;53.3;50.26;1;0
242;S;Saratov;;51.66;46.54;1;0
243;S;North Ossetia-Alania;;43.01;44.19;0.15;0
244;S;Smolensk;;55.02;32.93;1;0
245;S;Sankt Peterburg;;60.04;30.16;0.03;0
246;S;Stavropol;;44.85;43.46;1;0
