country;state;Name;Pop.;latitude;longitude
CHN;ALL;Xinyang;1783718;32.13;114.07
IDN;ALL;Medan;1768554;3.59;98.67
IND;ALL;Indore;1768303;22.72;75.86
BRA;ALL;Manaus;1766820;-3.12;-60.02
GHA;ALL;Kumasi;1765712;6.69;-1.63
DEU;ALL;Hamburg;1764163;53.55;10
MAR;ALL;Rabat;1754425;34.02;-6.84
BLR;ALL;Minsk;1753547;53.91;27.55
IND;ALL;Patna;1753543;25.62;85.13
VEN;ALL;Valencia;1725679;10.23;-67.98
IND;ALL;Bhopāl;1712355;23.24;77.4
ZAF;ALL;Soweto;1708553;-26.28;27.84
POL;ALL;Warszawa;1705941;52.26;21.02
CHN;ALL;Qingdao;1691101;36.07;120.32
AUT;ALL;Wien;1676942;48.22;16.37
CMR;ALL;Yaoundé;1676588;3.87;11.52
ARE;ALL;Dubai;1674527;25.27;55.33
IND;ALL;Thāna;1673465;19.2;72.97
SYR;ALL;Aleppo;1671673;36.23;37.17
IDN;ALL;Bekasi;1671375;-6.22;106.97
HUN;ALL;Budapest;1666892;47.51;19.08
MLI;ALL;Bamako;1662786;12.65;-7.99
IND;ALL;Ludhiāna;1662325;30.91;75.84
ZWE;ALL;Harare;1661675;-17.82;31.05
IRN;ALL;Eşfahān;1641128;32.68;51.68
ZAF;ALL;Pretoria;1633569;-25.73;28.22
ESP;ALL;Barcelona;1629211;41.4;2.17
COD;ALL;Lubumbashi;1628319;-11.66;27.48
IDN;ALL;Bandung;1627023;-6.91;107.6
MEX;MEX-JAL;Guadalajara;1616581;20.67;-103.35
CHN;ALL;Tangshan;1609184;39.62;118.19
SOM;ALL;Muqdisho;1609050;2.05;45.33
SYR;ALL;Damascus;1603368;33.5;36.32
ECU;ALL;Quito;1594883;-0.19;-78.5
IND;ALL;Āgra;1590073;27.19;78.01
CHN;ALL;Urumqi;1572939;43.8;87.58
PHL;ALL;Davao;1556270;7.11;125.63
BOL;ALL;Santa Cruz;1545161;-17.77;-63.21
MDG;ALL;Antananarivo;1540798;-18.89;47.51
MEX;MEX-CHIH;Juárez;1537485;31.74;-106.49
MEX;MEX-BC;Tijuana;1534259;32.53;-117.02
BRA;ALL;Recife;1530404;-8.08;-34.92
PAK;ALL;Multān;1528075;30.2;71.45
VNM;ALL;Hà Nội;1527411;21.03;105.84
BRA;ALL;Belém;1522035;-1.44;-48.5
USA;PA;Philadelphia city;1517550;39.998012;-75.144793
ARG;ALL;Córdoba;1512866;-31.4;-64.19
UGA;ALL;Kampala;1507042;0.32;32.58
TGO;ALL;Lomé;1501777;6.17;1.35
PAK;ALL;Hyderabad;1496163;25.38;68.37
CHN;ALL;Suzhou;1489146;31.3;120.62
IND;ALL;Vadodara;1487956;22.31;73.18
PAK;ALL;Gujrānwāla;1484172;32.16;74.18
TUR;ALL;Bursa;1481716;40.2;29.08
