region;route;root;signage
ENG;A369;eng.a0369;non-primary
ENG;A370;eng.a0370;both
ENG;A371;eng.a0371;both
ENG;A372;eng.a0372;non-primary
ENG;A373;eng.a0373;non-primary
ENG;A374;eng.a0374;non-primary
ENG;A374;eng.a0374tor;non-primary
ENG;A375;eng.a0375;non-primary
ENG;A376;eng.a0376;primary
ENG;A377;eng.a0377;both
ENG;A378;eng.a0378;non-primary
ENG;A379;eng.a0379;non-primary
ENG;A379;eng.a0379ply;non-primary
ENG;A380;eng.a0380;both
ENG;A381;eng.a0381;non-primary
ENG;A381;eng.a0381kin;non-primary
ENG;A382;eng.a0382;non-primary
ENG;A383;eng.a0383;non-primary
ENG;A384;eng.a0384;non-primary
ENG;A385;eng.a0385;primary
ENG;A386;eng.a0386;both
ENG;A387;eng.a0387;non-primary
ENG;A388;eng.a0388;both
ENG;A388;eng.a0388lau;non-primary
ENG;A389;eng.a0389;non-primary
ENG;A389;eng.a0389bod;non-primary
ENG;A390;eng.a0390;both
ENG;A391;eng.a0391;primary
ENG;A392;eng.a0392;primary
ENG;A393;eng.a0393;non-primary
ENG;A394;eng.a0394;primary
ENG;A395;eng.a0395;primary
ENG;A396;eng.a0396;non-primary
ENG;A397;eng.a0397;non-primary
ENG;A399;eng.a0399;non-primary
ENG;A400;eng.a0400;both
ENG;A401;eng.a0401;non-primary
ENG;A402;eng.a0402;non-primary
ENG;A403;eng.a0403;primary
ENG;A404;eng.a0404;both
ENG;A405;eng.a0405;primary
ENG;A406;eng.a0406;primary
ENG;A407;eng.a0407;non-primary
ENG;A408;eng.a0408;non-primary
ENG;A409;eng.a0409;non-primary
ENG;A410;eng.a0410;non-primary
ENG;A411;eng.a0411;non-primary
ENG;A412;eng.a0412;non-primary
ENG;A413;eng.a0413;both
ENG;A414;eng.a0414;both
ENG;A415;eng.a0415;non-primary
ENG;A416;eng.a0416;non-primary
ENG;A417;eng.a0417;both
ENG;A417;eng.a0417glo;primary
ENG;A418;eng.a0418;primary
ENG;A419;eng.a0419;both
ENG;A420;eng.a0420;both
ENG;A420;eng.a0420bri;both
ENG;A421;eng.a0421;primary
ENG;A422;eng.a0422;both
ENG;A423;eng.a0423oxf;primary
ENG;A423;eng.a0423;primary
ENG;A424;eng.a0424;non-primary
ENG;A425;eng.a0425;non-primary
ENG;A425;eng.a0425war;non-primary
ENG;A426;eng.a0426;both
ENG;A427;eng.a0427;both
ENG;A428;eng.a0428;both
ENG;A429;eng.a0429;both
ENG;A430;eng.a0430;both
ENG;A431;eng.a0431;non-primary
ENG;A432;eng.a0432;non-primary
ENG;A433;eng.a0433;primary
ENG;A435;eng.a0435;both
ENG;A436;eng.a0436;both
ENG;A437;eng.a0437;non-primary
ENG;A438;eng.a0438;both
WLS;A438;wls.a0438;primary
